번호,기업명,고객 세그먼트,점수,가치제안,점수,마케팅 채널,점수,고객관계,점수,수익원,점수,핵심활동,점수,핵심자원,점수,핵심파트너,점수,비용구조,점수
133,프라임파트너스,"건물을 팔려고 하는 매도인 
건물을 사려고하는 매수자(병원원장. 법인대표. 건물주 등)
부동산창업을 하려고 하는 예비창업자",C,"저금리시대에 빌딩이라는 실물자산을 통해 안정적이면서도 리스크가 낮은 효율적인
자산관리포트폴리오제공
경쟁사보다 많은 정보데이터량과 빠른 정보전달로 경쟁력강화
부동산창업을 원하는 사람들에게 평생직업으로서 자리 잡을 수 있도록 컨설팅",C,"네이버카페, 유튜브등 sns마케팅
텔레마케팅을 통한 지속적인 고객관리
주기적으로 DM발송",C,"텔레마케팅 콜센터를 운영하여 매도인에게 주기적으로 진행현황 보고하며 소통함
네이버카페나 유튜브에 고객이 좋아할만한 부동산정보를 주기적으로 올리고 서비스를 신청하는 고객의 접수를 받음",B,"빌딩매매를 통한 컨설팅 수수료
부동산 창업을 원하는 사람들에게 창업컨설팅 교육수수료
경매컨설팅 수수료",C,"매도인이 사고팔고를 매년 반복하므로 텔레마케팅 직원이 지속적으로 관리하여 많은 거래가 이루어지도록한다
다른 빌딩회사들과의 업무제휴로 공동중개등 계약이 활발히 진행될수 있도록 한다
광고효과를 높이는 SNS마케팅으로 많은 잠재고객에게 광고가 노출이 되어 지속적으로 신규고객이 유입되도록 한다",C,"공인중개사 자격증 소지자와 은 전문인력확보
경력이많아 원할한 텔레마케팅 실력을가진 텔레마케터
광고효과가 높은 기술력을 가진 SNS 마케터",C,"강남의 대형 빌딩회사들과 공동중개 등 파트너쉽: 두바이컨설팅, 에이원컨설팅, 케이에스컨설팅 등
부동산창업 교육을 위한 경매컨설팅회사 및 부동산개발회사와 정보교류",D,"텔레마케팅 직원 인건비
네이버카페ㆍ유튜브 Sns마케팅 직원인건비
홈페이지운영유지비및 유료제공사이트 사용료
컨설팅 직원 인건비",E
134,성마기업㈜,"건설회사, 설계사무소
시행사(건축주)
국가 및 지방단체(관급공사: LH, SH, KH 외 정부 발주 공사)
아파트 입주자대표회의
금융회사(국민은행, 기업은행, 농협 등)",B,"고품질 : 설비시공의 업계 최상의 기술력을 바탕으로 무하자로 고품질의 제품을 제공 함으로 고객 만족도 100%달성
무사고 현장 달성 : 안전사고 ZERO화
A/S최우선 방침 : 고객불만 발생시 어떤 업무보다 최우선 처리 방침으로 고객 불만족 ZERO화 달성
신공법 적용 : 현장시공 및 품질부분의 신공법 적용으로 효율적인 공정관리 및 원가관리 ",C,"건설회사 및 시행사 고객을 대상으로 한 입찰참여로 인한 수주
조달청 입찰 수주
시행사를 통한 기술제안 등으로 인한 영업
주요고객의 소개로 인한 영업
회사 홈페이지를 통해 실적, 시공 등의 홍보로 수주 활용",C,"고객과 협력회사의 업무미팅을 통해 고객의 요구사항, 만족수준에 부합하는 소통 및 의사 공유
고객의 요구사항 제안 및 현장 시공에서의 품질, 기술, 하자 등의 부분에서 기술 및 VE제안으로 신뢰 구축
관련법규 등 변화하는 부분에 대한 지속적인 교육에 대한 참여로 회사간의 원활한 소통 및 업무 공유
최선을 다하는 입찰의 참여로 원가에 대한 신뢰 향상",C,"수주에 의한 시공으로 인한 공사 기성
시공 중 설계변경 진행으로 인한 원가 관리
설계제공으로 인한 설계비 수익",B,"공사수주를 위한 수주 영업 활동
원활한 현장시공을 위한 활동
 :현장 시공을 위한 적시의 자재 투입
 :우수한 기능인력의 선제적 확보로 인한 철저한 공정관리
 :공정의 진행에 따른 기성의 확보로 자재,인력에 대해 적시에 기성금 지급
원자재의 변동에 대한 선제적 대처로 인한 손실 방지
우수한 시공으로 인한 고품질의 제품으로 고객사와의 신뢰관계 구축
고객의 요구에 맞는 품질을 제공하기 위한 기술력 구축
고객에 대한 원만한 응대로 긍정적인 회사 이미지 향상으로 고객과의 유대관계 유지",B,"최고의 기능을 보유한 인력을 보유하여 최고의 품질을 제공하는 인적 자원
원가관리, 품질관리, 경영관리 등의 전문관리자의 운영으로 경쟁력 있는 회사임직원
경쟁력 있는 자재의 구매력을 바탕으로 수주역량 강화
우수한 현장관리자의 운영으로 고품질의 현장 달성",D,"건설회사  
설계사무소,시행사(건축주),
현장소장, 현장시공기술자, SHO DWG인력
국가 및 지방단체(LH,SH,KH 등)
금융회사(국민은행, 기업은행, 농협 등)
자재매입처(현장시공을 위한 자재 구매)",C,"현장시공 자재비
현장시공 인건비(현장관리비, 시공기술자 인건비, 식대 외)
현장시공 경비(사무실임대료, 숙박비, 장비비 외)
본사관리비(본사인건비 외), 기타비용",E
135,㈜리안,"신혼부부, 새집으로 이사갈 예정인 가정
각종 인터넷 쇼핑몰(CJ, 롯데, 쿠팡 등)
방송사 및 영화제작사",C,고객의 건강까지 생각하여 친환경 소재를 기본으로 하여 代를 물려줄 수 있는 가구제작.,B,"홈페이지
각종 온라인 쇼핑몰
오프라인 직영 및 대리점
SNS 및 블로그",C,"홈페이지의 문의하기 게시판 운영
인스타그램, 페이스북, 블로그 및 카페를 통한 마케팅
제품 클레임시 신속 응대로 고객만족",C,"원자재 대량 매입으로 원자재비 절감
고객의 요청에 따른 주문제작으로 추가수익",B,"브랜드에 어울리는 디자인 및 소재 발굴 (심플한 디자인, 허리를 편하게 하는 각도 및 탄성 등)
당사 제품을 사용중에 있는 고객관리
가구 MD와 협업으로 판촉 및 신상품 개발",C,"30년 이상의 가구 장인의 생산 노하우
고객의 거실까지 안전하게 시공하는 물류직원
주인의식을 갖고 있는 임직원",E,"인터넷 쇼핑몰
인테리어 및 잡지사
신문, 방송 및 영화사",E,"인건비 
광고 및 홍보비
물류비용
전시장 임대료 및 운영비
원자재비, 기타",C
136,㈜해안종합건축사사무소,공공기관 및 민간기업,D,같이 일하고 싶은 세계 최고의 건축그룹,D,"공공기관
민간기업 ",E,"목표고객에게 제안 영업
고객이 찾아오도록 기술 축적",D,설계 및 감리용역,D,건축주 사업권 획득에 도움이 될 수 있는 파트너십 영업 및 기술(디자인) 제안,E,공동(집단) 의사결정 체계를 위한 기획/영업/기술/디자인 협의체,D,"사업기획 부서 및 발주 부서
도시 및 건축 정책 기획 공공기관 ",C,인건비등 직접경비 + R&D 및 장비 등 투자비,C
137,㈜햇담 ,"관공서
대형 토지주 또는 개인 사업주
공장 및 축사 등 오너",C,"풍부한 행정 경험을 바탕으로 철저한 법리 사전 검토 및 행정 처리
신뢰와 정직, 기술로 최적의 효율성으로 설계, 시공
지속적인 고객관리와 철저한 A/S",C,"건설사 등을 통한 직접 영업
홈페이지, 블로그, SNS 등을 통한 온라인 영업
기존 거래처, 개인 인맥을 통한 영업
건축 전기공사 업체와의 제휴",C,"홈패이지, 블로그, SNS 등 지속적인 업데이트
건축주, 공장주 등 사업 예상 고객을 상대로한 제안 영업
건설사, 시행사 및 건축 전기 공사업체 등을 통한 제휴 영업",D,"수의 계약을 통한 공사대금 수령
자사 태양광 발전소 건립으로 고정적 수입 계획 중",B,"건설사, 시행사, 건축주, 관공서 등 목표고객과 공정 협의를 통해 적시에 생산하여 현장 시공
부동산 컨설팅 업체와의 제휴로 사업부지 확보 및 사업주 영업
광고와 인맥을 통해 연락이 온 목표고객에게 영업 
태양광 전문 영업 업체와 제휴하여 설계 및 시공",C,"직접 설계 및 시공의 일괄 처리로 원활한 사업 수행
행정 경험을 바탕으로 관공서 대관업무 노하우
풍부한 시공경험의 전문적인 시공관리팀 운영",D,"건설사 및 시행사, 현장 시공 소장
건축전기 공사 업체
관공서 및 대형 건축물 시설관리팀
태양광 영업 전문 업체",C,"재료비
인건비, 시공비
장비임대료, 물류비
사무실 임대료, 운영비",E
138,㈜티피에프솔루션,대형 고속버스 운송업체 및 이용 시민,D,건물 및 시민 안전 관리 및 운송업체 편의 제공,C,담당 부서에서 직접 영업,E,"고객인 운송업체로부터의 설비 개선 제안이나 서비스 제공 요구에 대한 협의, 자체적인 서비스나 설비 등에 대한 개발 제안 등",D,운송업체로부터의 건물 임대료 및 관리비,D,대형 운송업체와의 소통 강화 및 운송 편의시설 개선 협의,D,"건축물, 주차관리 설비 및 관리 전문 인력",E,대형 고속버스 등 운송업체(호남선),B,"건물 관리비(안전 점검, 수리 보수 등) 및 인건비",E
139,네추럴웨이,"건강기능식품유통전문판매원, 판매원(한국야쿠르트, 삼양사, 한국인삼공사, 롯데마트, 암웨이, 뉴트리원, 네이처스팜 등)",C,"상품의 기획에서 생산 및 납품까지 전 과정에 대한 서비스를 제공할수 있는 기술력과 인프라를 가지고 있다.
또한 급변하는 경제 여건에서 경쟁력있는 회사로서 자리매김하기 위해 건강기능식품 사업은 물론 신소재 개발 및 건강지향적인 제품개발까지 사업영역을 확대하고 있습니다. 
기업의 이윤추구보다는 고객과 함께하며 더불어 살아가는 참신한 기업 이미지를 만들어 나가겠습니다",C,"1. 자체 영업조직에서 개별 영업
2. 홈쇼핑
3. B2c, B2B영업형태
4.개인 인맥에 의한 영업",C,"당사 영업부에서 제품 개발단계에서 정기적인 기술적 장점 홍보, 커뮤니케이션 진행
고객의 요청에 따라 영업부와 목표고객과의 제품관련 협의를 통한 고객 니즈파악후 제품 진행
인맥을 통한 고객목표 설정",C,"건강기능식품전문제조원/수수료 
자체 제품 유통업체 연계 판매/제품 판매",C,"기존 거래를 하고 있는 목표고객에서 신규 프로젝트 진행에 필요한 협의 요청시 당사 영업팀에서 대응 활동
당사 영업팀에서 파악한 고객 니즈를 제품개발팀에서 기술 개발을 진행하여 특허 등록(듀얼이중캡) 한국야쿠르트 밀크씨슬 쿠퍼스 캡슐에 적용 
외부 자재공급업체와 공동으로 제품을 개발하여 공동특허 등록으로 기술보유
인맥을 통한 영업활동",C,"최초/유일의 이중캡 생산시설 완비를 통해, 다수의 관련 특허 및 기술력을 보유한, 이중제형 건강기능식품의 생산 및 개발 전문업체 로서의 성장 이중제형 컨셉은 건강기능식품 뿐만 아니라, 다양한 식품군에 응용 가능한 차세대 식품제형으로서 그 성장가치가 매우 높음
재산권 및 특허
곰피추출물 개별인정형 원료 보유(제2018-1호)",D,"한국야쿠르트, 삼양사, 롯데마트, 네이처스팜 오프라인 판매회사",A,"인건비(내부, 외주 포함) 
재료비(원료비, 부자재비) 물류비용
사무실임대료(서울사무소)
설비투자비(장비구입)",D
140,대동팩,"제약회사(종근당, 동아제약, 대웅제약, 한미약품 등)
건강기능식품회사(서흥, 노바렉스, 콜마비앤에이치, 코스맥스바이오 등)
판매회사 및 OEM발주처(애터미, 프롬바이오, 인삼공사, 한국야쿠르트, CJ 등)
일반식품회사
농약회사(동방아그로, 한농 등)
디자인 회사 및 상품개발회사.",B,"전 사원의 고객중심 사고방식.
1차 포장재 관련 소량에서 대량생산에 이르기까지 가능한 설비 완비.
철저한 품질관리를 바탕으로 신속 정확한 납기.
미래를 선도하는 신 기술 개발, 도입.
포장재 관련 상담 및 컨설팅.",C,"한 번 고객은 지속가능 고객으로 만듦. (제품의 특성 상 한 번 패키징이 결정되면 특별한 하자가 없는 한 지속적인 거래가 이루어진다.)
상품개발자, 디자이너와의 맨투맨 상담을 통한 고객사 확보. 
고객사로부터 소개를 통한 영업. 
포장기계 업체로부터의 고객사 소개.",C,"당사의 패키징 필름을 사용하는 고객사의 생산부, 품질관리부서 직원과의 주기적인 미팅을 통해 사용상 불편사항을 지속적으로 모니터링 및 시정, 보완한다.
고객사의 신규설비 도입 시 테스트용 샘플제공 및 시운전에 적극 협조한다.
구매부서를 주기적으로 방문하여 애로사항을 경청하며 문제점을 해결하도록 한다.",C,패키징 필름 납품을 통한 물품대금 ,D,"신규 제품에 관한 디자인 접수 시 디자인 수정사항, 완제품 생산 시 예상되는 문제점을 사전에 보완하도록 해결방안을 제시한다. 
포장재 재질 선정 시 협의하여 최상의 제품 생산에 협조한다.
포장재 출고 전 철저한 품질 관리로 완제품 생산에 차질이 없도록 한다.
고객사의 품질관리 부서와 지속적인 대화를 통해 사용 상 문제점을 개선하도록 한다.",B,"고객사의 말에 귀 기울이는 주인정신을 갖춘 사무원.
우수한 기술력을 기반으로 도전적이며 젊고 혈기 넘치는 생산인력.
철저한 품질관리 시스템.
다양한 설비: 다품종 생산에 적합한 다양한 최신설비.
미래 지향적인 경영진.",D,"고객관련 파트너회사: 대기업 상품개발팀(LG, CJ, 인삼공사, 롯데 등), 건강기능식품 판매회사(프롬바이오, 뉴트리원 등)
생산관련 파트너회사: 동판업체, 원단공급업체, 잉크업체
외주가공 파트너회사: 인쇄업체, 합지업체, 가공업체, 스파우트 가공업체 ",A,"원, 부자재비
인건비
창고 임대료
외주 가공비
관리비(사무실 운용비, 인터넷, 통신 사용료, 식대, 차량유지비, 전기사용료 등)
물류비, 설비 투자비",D
141,㈜선워드,"건설사/건축주/시행사 층의 고객
주거용/상업용 프렌차이즈업체를 통한 제품 제안 고객층",C,"신뢰를 바탕으로 건설사/설계사무소/협력업체와 지속적인 관계 유지하여 더 나은 삶과 고객만족
품질 및 완벽한 시공으로 디자인 및 내구성 뛰어난 현장 납품",C,시행사 시공사 설계사를 위주로 선 스펙인 등록 위주 영업활동 / 협력업체를 통한 입찰참여,C,"설계사무소에 시험성적서 및 인증서 대응 활동 / 지속적인 신뢰감을 통한 제품관련홍보
구매자 실질적인 수요업체를 통한 경쟁력 있는 견적 제안
최근 디자인 트랜드 및 시공 현황에 따른 공유 활동",C,"수의계약을통한 공사대금수령
경쟁입찰을통한 공사대금수령
제품판매 / 공사비 수익",C,"시행/시공/설계사무소를 통한 스펙 활동으로 1차작업 후, 경쟁입찰이나 비교 견적을 통한 납품
신뢰와 경험에 따른 노하우를 통해 자재 납품 활동",C,"건축자재전문 영업팀 / 지원업무팀 / 경영진들의 시장흐름파악우수
35년이상의 건축자재유통회사의 오랜 경험과 협력업체와의 지속적인 관계",D,"설계사무소, 시행사, 시공사
가구업체, 목문틀 및 내부마감 내장업체, 수장업체",D,인건비/재료비/물류비/차량유지비/사무실임대료/영업에 따른 활동비,E
142,지앤택이엔지㈜,"건설사, 정부 나라장터, 시행사",C,고품질의 자재와 시공기술자의 앞선 기술력으로 양질의 시공과 공기준수를 통한 신뢰 확보,B,"직접영업과 협력업체 등록를 통한 입찰참가
개인 인맥을 통한 건설사 소개로 영업",C,고객의 업무 담당자와의 직접 대화를 통한 니즈 파악,D,"입찰를 통해 수주한 공사의 대금 수령
계약변경을 통한 추가 공사비 수령",C,"직접 영업 및 협력업체 등록를 통한 입찰참가
프로젝트별에 맞는 자재 확보 및 기술인력 확보를 통한 동종업체간의 우월성 확보
신제품, 시공방법 변경, 공기 단축을 위한 기술 개발로 고객과 지속적 유대관계 유지",C,"프로젝트별 운영과 공사대금 수령을 위한 기성을 담당하는 공무담당자
영업을 위한 임원
공정과 원활한 공사를 수행하는 공사담당자",E,"건설사 외주팀, 동종 업체, 시공소장 및 시공기술자, 자재 업체",D,"프로젝트별 인건비, 자재비, 장비비, 경비
본사의 영업 및 관리를 위한 공통경비",E
143,(주)홍익총괄,"일반 지인고액.
기거래 직장 단체고객(SBS방송, 주택공사, 난방공사, 한국수자원공사.
일반중소기업(파주 출판단지내 출판사, 구로공단내 전자업체)",C,"지속적인 전문지식습득으로 고객에 신뢰를 구축하여 장기거래를 통한 성과 창출.
세무회계.
직원복리후생.
결산분석.
개인보장 분석 및 대안제시.
국내 보험사(생명보험8, 손해보험11)협약체결을 통한 상품의 다변화 구축.",C,기거래처 소개 마켓팅으로 신규고객창출.,D,"정기적인 건강관리 소책자 배포.
개인정보 동의 고객에 대한 보장분석내용 전달.
연말 소득공제 자료배포.
기계약자에 대한 안부인사 --- 1일 1사원 5명.",C,원수사 상품 판매에대한 수수료.,E,"자기만에 전문지식 습득.
세무결산지식.
직장 복리후생 지식.
전반적인 기판매상품 및 신상품 완전무장 (생명보험8, 손해보험11)
대출(담보, 신용, PF)업무 지식습득.",D,"기계약자 정기적인 밀착관리.
전문지식 습득 활용을 통한 타보험법인과 차별화전략.
관련업체 지속적인 협약체결(생명, 손해보험. 시중은행, 케피탈, 증권사).",D,"설계사(모집인), 관련업체 팀장(지점장)",E,"사원 수수료.
판촉비(정기적 간행물, 접대비)
사무실 임대료.
사무실 운영비.
출장 교통비.
내근직원 급여.",E
144,㈜세신무역,"건자재 도매상, 대형 건설사 및 시행사 납품업체",C,"상호 신뢰속에 고객이 원하는 가격에 공급. 판매 극대화
이익율보다 대량공급으로 거래공장의 안정화로 안정적인 공급.
중국 직원과의 신뢰 구축으로 안정적인 품질, 공장 운영(거래공장과 신뢰)으로 고객만족
전 직원의 중간관리자 역할( 책임제 : 공장별, 품목별 책임제로 승진, 급여 인상 결정 )",D,"기존 거래처에 최선을 다함
거래처 부분별 담당자에게 개개인에 맞는 응대.
동종업종 관계자와 교류에 의한 고객소개 : 미미함",D,"고객의 요구 조건에 맞는 끊임없는 중국 공장 개발로 고객의 요구에 사전 준비 또는 선 제안
중복투자로 비용은 증가되나 차차선책 준비(중국 거래공장에 주요품목 중복개발) (거래중단 , 급격한 가격인상, 국내 업체 침범 등 대비)
이익은 고객이 우선 , 손해는 당사가 우선 정책(대세는 당사가 이익임: 신뢰)",B,"중계무역 개념의 수수료 (공장 관리는 당사, 대금 결제는 거래처), 제 3국 수출 수수료
OEM 계약으로 선 납품 후 당월 현금
다양한 수입선으로 원가절감 기여분, 환차익(환차손도 발생)부분적으로 발생
동종업계 기술 제공수수료",A,"주거래처와의 계속적인 관계를 위해 공장개발, 저가의 제품을 동일 품질로 공급하기 위해서는 다소 실력은 미흡하나 사장의 마인드가 된 공장을 최소 2~3년을 꾸준한 기술 향상으로 당사 제품 개발, 
국내 동종업체가 생산하는 공장은 생산 절대배제, 중계무역업인 당사는 국내 업체와의 가격 경쟁에서 불리, 이익율이 현저히 낮아서 미래에 대한 투자 불가능
당사의 장,단점을 시대 상황에 맞게 설명하여, 조금의 오해도 없게 함 (최근의 컨테이너 부족사태: 당사는 문제없이 공급, 중국 환율 급등락 이익, 손해 공유)",A,"안정적인 중국직원 : 대부분이 회사 창립인원(경쟁업체의 스카우트 제의도 뿌리침)
중국 직원의 정보망
오너의 전체를 볼수있는 기술력, 현지 국가 언어능력으로 빠른 결정(주요 결정시 공장사장과 직접대화로 신뢰 및 신속대응 : 오너와 직원의 공장사장과 상담과 절실함은 차이가 있음)
꾸준한 성장으로 투자가능한 자금력
동종업계의 흐름을 파악하는 능력으로 준비가 빠름",D,"주 거래업체 담당자, 소규모 도매업체 오너",E,"인건비, 출장비, 교육비, 중국공장 보증금, 개발비(출장 ,시간, 실패에 대한 기회 및 투자 비용)
사무실 운영비, 하자 처리비",D
145,(주)이앰,"육군(군부대)
군인공제회(공우이앤씨)
건설,환경사업
오폐수처리장 설계시공
군부대 및 관공서",C,"사람과 환경을 생각하는 친환경적 기업 제품 생산
작지만 강한 기업
신속 정확한 품질 좋은 서비스",B,"군부대 내 담당자 및 부대장 미팅을 통한 직접 영업
국방일보 및 환경관리인 홍보지 광고 마케팅
지역 인맥 및 단체활동 인맥 라인 구축에 의한 영업",C,"제품에 대한 유형에 서비스와 무형에 서비스를 제공 고객에게 지속적인  서비스 제공
지속적인 기술 개발과 숙련된 기술자 양성으로 제품의 기술력 확보
특허 및 저작권 확보로 기업의 기술력 및 제품 홍보
고객과의 제품에 대한 매뉴얼 수칙에 의한 행동 준수",C,"기술력(저작권) 확보에 의한 수의 계약(육본,군인공제)
오폐수처리장 관리용역에 의한 수익
관공서 및 공장 제품판매 수익",C,"작지만 강한 기업으로서 특허 및 기술력 확보로 연속적인 고객과의 서비스 제공
고객 중심으로 변형된 사전(B/S)서비스 도입 고객과의 소통 해결
신제품의 다각적 변화와 우수한 서비스를 선점 할수 있는 인력 확보",B,"전문적인 기술력 확보(숙련공 및 기술전문가)
고객의 의견 수렴 및 문제 발생시 고객 및 관리자와 소통 해결
제품에 대한 사전(B/S) 서비스에 의한 고객불만 해결",C,"육본(군부대) 
군인공제회(공우이앤씨)
협력업체(설비,제작팀)",C,"인건비(외주,내주)
영업비(광고 및 홍보)
임대료(사무실 공장)
운용비
접대비",E
146,㈜미소전자통신,"완성차 제조업체(현대자동차, 기아자동차, 르노삼성자동차, 쌍용자동차 외)
완성차 수입업체(폭스바겐코리아, 벤츠코리아, BMW코리아 외)
자동차 용품 유통사(두코, 더미동, 팅크웨어, 만도 외)
해외 유통업체(아마존 외)
공공기관(조달청 외)",B,"우수한 기술력을 바탕으로 고객의 요구에 최적의 상품을 최우선적으로 공급
프리미엄 고객을 위한 최고의 디자인과 부품을 사용하여 선도 제품 공급
급변하는 IT 기술을 신속 적용하고 최고의 제품을 고객이 선택할 수 있게 노력",C,"국내 유통전문 업체를 통한 공동 마케팅 및 영업
해외 자동차 판매 업체를 통한 공동 마케팅 및 영업
해외 유통전문 업체를 통한 공동 마케팅 및 영업
온라인 유통 채널을 통한 영업",C,"고객의 요청에 따라 주기적(월별, 분기별) 사업기획 및 세미나로 고객 니즈 파악
동종업계 경쟁사 비교 분석, 신기술 접목한 시제품 제작 및 품평회를 통한 제품 제안
지분 투자를 통한 사업이외의 유대관계 강화",C,"제품 판매를 통한 매출 이익
기술개발을 통한 개발용역비 수령
지속적 원가 절감 등을 통한 수익 증대",B,"당사 연구소를 통한 지속적인 기술개발 현황 파악 및 고객사 공유
이미지 센서 해상도별 제품 개발 가능한 소프트웨어 및 하드웨어 기술 보유 및 제품 제안
손실없는 포멧프리 기술을 이용한 영상 저장 기술 보유 및 제품화
차량과의 컨넥티드 기술을 이용한 자동차 용품 개발 기술 보유 및 제품화
수출 국가별 외부 환경(전자파 환경 등)에 최적화된 개발 기술을 통한 제품 제안",A,"임베디드, IT 관련 10년이상 경력을 가진 최고의 개발 인적 자원
전문지식과 협상력을 갖춘 10년이상 경력을 가진 기술 영업 인적 자원
비핵심 업무를 아웃소싱 운영 능력",C,"국내 자동차 용품 유통 회사(전국 유통망 보유 업체)
해외 자동차 및 용품 판매업체
외주 OEM 생산 업체(당사 지분 투자를 통한 협업 관계 구축) : 안정적, 우선적인 당사 제품 생산",C,"자체개발비 : 기술개발비, 각종 인증비 등
외주개발 : 디자인비, 기구설계비, 금형개발비, 앱개발비 등
유통비용 : 물류비 등
각종 장비 구매비용
무상 A/S 비용
건물 감가상각비
운영비
영업비",D
147,PPI㈜,"당사가 생산하는 (건축자재)
상수도관, 하수관 ,건물내 오배수관, 스프링클러배관용 C-PVC관을 
종합건설사 설계지침이나 시방에 사용승인을 얻고 감리단의 자재승인을 득하면
실제 구매는 전문기계설비업체와 계약 납품하는 구조임.
건설사,설계사무소,설비회사, 시판대리점(건재상)",B,"100년 수명을 유지하는 건축용 상하수도,오 배수관을 생산하는 국내 최대의 PVC제조업체입니다.
창립45여년에 국내시장 점유율 50%. 
해외시장 개척은 일본에 1,000여군데 현장납품,
미국 상수도관 시장에  년간 40억원 수출.
시공이 편리하고 한번 시공하면 100년간 누수 없는 제품을 공급하여
고객의 변함없는 신뢰를 바탕으로 사업의 다각화를 도모함
보일러 연도,건축용 거푸집,  층간 소음 및 방화충전재 등을 선진국 주요메이커에
필적할 만한 제품을 준비중",C,"대리점을 통한 전문건설업체.
당사 직원의 건설사, LH공사 설계팀 및 현장 담당자 홍보 등 기술영업",C,"당사는 매스컴에 노출이 종종되었고
(YTN 강한중소기업이…, KBS 중견만리등..)
과거 30여년전에 타사보다 월등한 기술력의 제품을 생산하여 인지도가 있음.
기계설비 유관단체인 대한설비공학회, 한국설비기술협회 이사회 등에 참여하여
건설사,설계사,학계 관계인사와 정기적인 교류 및 기계설비협회 행사,세미나 등에 참여",C,제품 판매 수익,D,"꾸준한 신제품 개발 소개, 현장 시공이 간편한 모듈화시스템 발굴 납품. 
고객의 요청에 의한 맞춤형 자재 공동개발 ",C,"전문지식과 협상력을 갖춘 시장점유율 1위를 만드는 기술영업팀,
신뢰할 수 있는 제품을 생산,출고등을 담당하는 생산관리팀.
원자재를 적기에 저렴한 가격으로 구매하는 경영관리팀이 KEY부서",D,"건설사 설비팀.
건설사 현장 담당자.
설비회사 본사 임원 및 구매담당자.
대리점 대표",D,"인건비, 영업관리비, 재료비, 광고비, 물류비용
설비 투자비, 기술개발비, 몰드개발비, 
사무실 임대료, 건물 및 기계 감가상각비",C
148,서울고속도로,"고속도로 유료이용 국민
주주 (국민연금 외)
국토부 외 민간투자사업 관리 감독기관",C,"안전한 도로 품질확보
제설작업, 사고처리등을 통한 원활한 소통 유지
사고 미연 방지를 위한 제반 시설 유지관리
민간투자사업에 대한 주주가치 유지
임직원 내부고객 만족을 통한 외부고객 행복 전달",C,"교통량 증가를 위해 인근주변 고속도로 이용 홍보
공휴일 통행량 창출을 위한 가볼 만한 장소 소개
교통사고 줄이기 캠페인 시행
대정부 운영평가 대응",B,"안전시설 설치 및 대국민 안전의식 홍보 플랭카드 설치
고속도로 사망자 숫자 저감노력 홍보함
신기술 도입으로 업무혁신
우수 사업사례로 홈페이지 및 방문 응대 등 대내외 홍보",B,"통행료
휴게소 임대료",C,"통행료징수 고도화(ITS)
교통안전 순찰 및 신속한 사고처리강화
매출 및 수익관리
도로유지보수
터널유지보수
시설물 유지보수
매년 윤영유지관리비 책정 및 집행",B,"전문운영유지 관리 인력 확보
위기 시 대응에 최적화된 노련한 경영진
어려운 여건에서도 기술력을 확보하여 최고의 품질로 승부하는 유지보수 협력사
재무건전성을 유지시키는 경영관리본부",D,"국토부 민간투자지원과
우수 협력업체(통행료징수, 설비, 전기, 일상유지보수, 조경, 교통안전 등)
관찰 지자체 관련기관
운영평가 심의/평가 기관",D,"운영유지 보수비, 대체투자비, 긴급보수비, 본사관리비, 인건비",E
149,태영건설,"중앙정부, 지방정부, 정부(지방정부 포함)투자기관, 정부(지방정부포함)출연기관
토지주, 시행사, 건축주
아파트 분양 받을 국민, 토지(산업단지, 상업용지 등) 필요한 국민
건설사, 설계사, 감리사, 각종 단체(협회, 공단 등)",C,"디자인이 좋고, 고객에게 편의성 및 신뢰성을 확보하여 최고의 제품 공급
고객이 원하는 수준 이상의 품질 및 가치 창도
품질, 환경, 보건, 안전이 최우선
원리원칙 및 법규준수",C,"정부/지방정부/정부투자기관/정부출연기관 등 입찰참가
대규모 도시개발사업/민간투자사업/개발사업 개발하여 관련 기관에 제안 영업
건설사들과의 공동도급 추진(각자 실적보완)
토지주, 시행사 등 제안 사업 검토 선별 추진",B,"전국적으로 사업성 있는 사업들을 선별하고 그와 관련된 기관에 제안영업
(각자의 니즈에 맞을 때 추진)
회사의 재무건전성을 적극 홍보함
당사의 실적을 적극 홍보함(실적부족시 공동도급추진)
아파트사업 입주민 대상 : 품질의 우수성 홍보/하자 최소화 및 조속조치",C,"경쟁입찰에 의한 공사대금수령 및 설계변경/ESC 등에 의한 원가절감
아파트, 상가, 토지 판매 수익
출자에 의한 배당수익
임대수익 등",B,"정부관련 발주 가능 기관에 대한 수시 사전 영업 및 유대강화
시행사, 설계사 등 신규사업 제안에 대해 최대한 성의 있는 검토로 신뢰성 확보
재무건전성 및 안전관련 사항의 우수성을 적극 홍보
많은 사람들과의 우호적인 관계가 가장 중요",B,"전문지식과 협상력을 갖춘 각 영업본부(개발,건축,토목,민자,상하수도 등)
시장흐름에 맞추어 선택과 집중을 잘하는 경영진
어려운 여건에서도 기술력을 확보하여 최고의 품질로 승부하는 각시공팀
재무건전성을 유지시키는 경영관리본부",D,"중앙 및 지방정무 & 정부 투자기관의 발주부서 및 시공관리부서
우수 시행사 및 금융기관
대형건설회사 및 지역유지 건설회사
각종 심의/평가 기관",D,"설계비, 시공비, 재료비, 광고비, 기술개발비, 사무실유지비, 본사관리비, 인건비
토지구입비, 분양대행수수료, 등",C
