고객세그먼트,label
"피부고민이 있는 일반 소비자
H&B 스토어 사업자 (올리브영, 롭스 등)
홈쇼핑사(현대, GS, CJ, 롯데 등)
이커머스사(쿠팡, 마켓컬리, 스타일쉐어 등)",B
"가구(소파) 구매자
30, 40대 여성",D
"재개발 사업의 조합원 및 조합장
신탁사회사
1군건설회사",A
완성차 보수용부품 유통점,E
건설사.시행사.신탁사,D
"이태리, 중국, 한국등 다양한 생산지를 활용 남녀노소 젊은 층과 중장년 층 다양한 소비자를 위한 가격범위를 넓히고 명품 고급소재를 적극적으로 활용하여 최고의 품질을 선보이고자 하고 있음. 
향 후 스포티한 스타일을 개발하여  골프, 등산등 운동시 착용할 수 있는 상품을 생산하여 고객층을 더 넓히고자 함.",D
"백화점, 면세점, 홈쇼핑을 이용하는 명품과 디자인을 중요시하는 전고객층",D
"자동차 제조회사(현재
타이어(한국,금호,넥센)
금융관련(삼성카드, KB카드, 신한은행 등…)
썬팅필름기업(루마, 3M, 티나인 등..)
자동차보험 관련 기업 (삼성화재, KB손해보험, DB손해보험, 현대해상 등..)",C
"금융을 필요로 하는 모든 기업
정부기관, 공공기관
소호기업
개인",A
"예비창업자, 창업기업, 업력 7년 이상 기업 등 대부분의 중소기업이 대상임.
현재 보유 기업 중 제조업 70%, 도.소매업 20%,기타기술서비스업 10%",B
사무직 근무인원기준 100~500인 기업 ,B
"우량고객(자산 또는 재력, 직업 또는 업종, 신용도 등 우수한 고객)",A
"자동차 제조업체
배터리 제조업체 
반도체 업체
의료기기 업체
열 에너지 기반의 전기제품 제조업체 ",B
"삼성, 현대차, SK, 롯데, LG 등의 대기업 계열사",B
"OEM 전기차(자동차) 회사 (G사(대외비), Lucid, ARRIVAL 등)
일본 OEM 자동차 회사 (일본은 내수시장 활성화 방침으로 자국 기업을 통한 부품조달 구조임, 진입장벽이 매우 큼)",C
"개인 및 자영업자, 소상공인 CFO
기업체 및 공공기관 단체",A
지속적인 거래확대를 통한 수익창출과 파트너쉽 확보가 가능한 고객,A
"Cnc가공정밀회사(경우정밀, 한국기공, 대성풀리)
산업기계, 부품가공회사(아신기계)
반도체장비회사(준테크코리아)
자동설비회사(세림워터테크)
공단지역정밀회사",B
"발주사 및 당사 아파트에 입주하는 입주민
- 해외공공기관 및 민간기업
- 공공기관 및 민간기업
- 주택(입주민)",B
쥬얼리 상품 구입자,C
"보험사(생명보험, 손해보험)
병원
그 외 보험대상자",C
"백화점, 대형마트
물류회사
유통센터",C
"보험을 필요로 하는 미성년자가 아닌 성인 남녀, 외국인",D
"자동차, 핸드폰 부품기업
신소재 및 반도체 부품기업
세라믹 연구소 및 국책연구소
방산관련 기업
항공 우주 관련기업",B
"건설관련 업체 : 건설사, 설계사무소, 시행사",C
"구매팀, 자재팀
고층빌딩 리모델링 시공사 및 시행사
아파트 베란다 확장공사를 추진중인 단체
당사 제품의 기술과 가치를 이해하고 고객을 발굴",C
"한국토지주택공사
각 건설부분 건설사
설비회사
욕실용품 대리점",B
"KT클라우드
현대 모비스
현대 엘리베이터
기아차
공공기관
건설사",B
"공항시설 (인천국제공항공사, 한국공항공사)
철도시설 (한국철도시설공단)
한국항공우주산업(KAI)
공공기관 (국토부, 한국자산관리공사, 지자체 등)
건설사",B
"고객(일반)
이동통신사, 신용카드사, 포인트제휴사
시행사, 시공사, 토지주, 건물 건축주, 임차인
문화콘텐츠 제작사, 종편채널",C
"1군 건설사
실내건축 업체
설계사무소",B
"건설사, 시공사 및 산업용 에폭시 재료 사용 업체
에폭시 관련자재 OEM, ODM
건재상 및 대리점",C
"건설사, 시공사 및 산업용 에폭시 재료 사용 업체
에폭시 관련자재 OEM, ODM
건재상 및 대리점",C
"건설사
설계사무소
건축주",C
"부품업체
차량업체
부동산
통신사",D
"면세점
백화점
대형마트
온라인 스토어를 통한 직접구매자
화장품 제조업체 및 패키징(부자재업체)",B
"스마트폰,테블릿PC 이용자
온라인 쇼핑을 통해 생필품 구입하는 개인 이용자
이커머스 플랫폼 사업자
오프라인 판매/유통업자",B
"설계사무소,설비회사,식품회사,조달(종합쇼핑몰),관공소
냉동창고, 냉동기 필요 업종
에너지절감을 필요로 하는 수요처",C
"건설회사 또는 재건축재개발조합 --- 건설회사의 경우, 공사대금청구 하자보수소송 하도급 계약 위반 등 소송의 난이도가 높은 방면에 선임료나 성공보수 높음 재건축재개발조합의 경우, 2-3년 지속적으로 법률자문 및 명도소송, 조합지위확인 소송 등 법률문제 발생
형사사건의 피고인 --- 짧은 소송수행기간에 비해 높은 선임료를 받을 수 있음",B
"건설사, 토지주, 시행사
재건축조합관계자
생활 공간의 질을 높이고자 하는 가장
업무의 효율성을 높이는 공간 창출을 원하는 기업대표",B
"중소.중견 제조업체(자동차,전자업종)를 중심으로 스마트공장 솔루션을 보급하는 회사입니다.
저희 회사는 특정 회사가 있는 것이 아니라 국내 및 전세계 중소.중견 제조기업을 대상으로 스마트공장솔루션이 필요한 모든 중소.중견 제조기업이 고객입니다.",C
"건설사
증권사
시스템 관리 및 운영사
공공기관
에너지 저장장치 제조사
열병합발전소
수입자동차 딜러사",B
"레미콘, 아스콘 운영회사.
 건설회사.
 정부공사-도로, 공항, 공공건물수행 업체",B
"정부의 정책자금을 이용한 급식관계자.
학교, 어린이집, 유치원, 일반고객 
학교장, 어린이집원장님, 유치원장님, 학부모운영위원회, 일반소비자",B
"저희 회사는 기본적으로 공공발주사업을 목표로 하고 있으며, 부수적으로는 건설사나 토지주를 고객으로 모시는 목표를 지향하고있습니다.",C
"개인고객
기업고객
WM고객
글로벌기업 및 고객",A
"관공사 (입찰관련 포함)
여성기업 우선 선정 관공사
임직원의 인백",B
"토지주, 시행사",C
"건설관련 회사 (설계사무소, 시행사)
공공기관 (한국토지주택공사, 서울주택도시공사, 지방주택도시공사)
부동산중개업소, 주택공급 희망 고객
건설관련 회사 (설계사무소, 시행사)
공공기관 (한국토지주택공사, 서울주택도시공사, 지방주택도시공사)
부동산중개업소, 주택공급 희망 고객
건설관련 회사 (설계사무소, 시행사)
공공기관 (한국토지주택공사, 서울주택도시공사, 지방주택도시공사)
부동산중개업소, 주택공급 희망 고객
건설관련 회사 (설계사무소, 시행사)
공공기관 (한국토지주택공사, 서울주택도시공사, 지방주택도시공사)
부동산중개업소, 주택공급 희망 고객",A
"시행사, 관공서",C
"건설 관련업체 : 건설사 
공공기관 : 국방부, 도로공사, LH, 지방자치단체
도시정비업체 및 재건축조합
",B
"당사의 일반적인 고객은
 - 국내외 철강재 유통사 및 코일센터(포스코인터내셔널, 세운비앤씨, 유진철강 등)
 - 국내외 자동차사(현대기아, 쌍용, 한국지엠, 르노삼성, 도요타, VW, BMW 등)
 - 국내외 가전사(삼성/LG전자 등)
 - 국내외 조선사(현대/삼성중공업, 대우조선해양 등) 및 풍력/플랜트 등 에너지사 등 이나, 그 중 강건재 비즈니스 분야에 있어서 주요 목표고객은
 - 컬러강판 제조사(포스코강판, 비엔스틸라 등)
 - 주요 건설사/시공사, 설계사무소(포스코건설, SK건설, 더시스템랩, 씨에이플랜 등)
- 모듈러 주택 부품/제조/시공사(비엔비아이피, 스타코, 인페쏘 등)임.",A
"(차량 구매를 목적으로 하는) 일반 고객
(차량 구매를 목적으로 하는) 개인 고객
(차량 구매를 목적으로 하는) 법인 고객",D
도소매업(건설사납품),D
"일반적인 고객은 개인 고객이 대부분이며, 시행사도 대표 고객입니다.",D
"지방자치단체(관공서)
건설사
교육청
한국전력공사,한국토지주택공사,한국가스공사,한국도로공사,한국철도공사",C
"지방자치단체(관공서)
국방부
한국전력공사, 한국토지주택공사, 한국가스공사, 한국도로공사, 한국철도공사",B
"건설사
지방자치단체(관공서)
국방부
한국전력공사, 한국토지주택공사, 한국가스공사, 한국도로공사, 한국철도공사",B
"관공서
각 학교 및 보건소",D
커피 수요 인원 및 체인점 가입 업주,B
"공공, 제조, 금융, 교육, 건설, 유통/운송, 의료, 호텔",A
일반 자동화가 필요한회사 디스플레이 및 반도체(삼성전자),C
"난방/온수/취사/열원 등 목적으로 도시가스를 소비하는 가정, 영업점, 산업체 등
 열병합발전, 복합발전 등 발전소
 연료전지 업체
 천연가스버스 등",B
"불특정 다수 
모든 일반인",E
"완성차(GM북미, GM 코리아), 1차 협력사(현대 모비스, TRANSYS)등",C
"10대건설사 (삼성건설, SK건설, GS건설 등.)
시행사 LH, 수자원공사등",B
"삼성전자, 아메리칸스탠다드, 대림바스, 케림, 웰릭스렌탈㈜, CS렌탈",B
"전자제품 및 반도체 제조사. 
전자부품 테스트 관련사.",D
"관공서
지자체
가정 및 요식업체
오프라인 매장 방문고객",D
산업용포장재를 필요로 하는 기업,C
"1.	부품 사업 : 정수기, 비데, 화장실 관련 완제품 업체
2.	일반 소비자 : 온수",C
"자동차, 부품 회사 (현대자동차, 현대모비스, 쌍용자동차, 아우디코리아, 볼보트럭, 모토텍, 두코, 성창오토텍)
케이블 방송, 잡지 회사 (YTN, KBSN, MBC+, JTBC, 실버Itv, 대학내일)
대학원 (서울대ACPMP)
반도체, 화학, 핀테크 회사 (솔브레인, 동진쎄미캠, 아톤)
건설관련 회사 (신아, 명가엔지니어링, KD건설, 프라임하우징, 슈프림종합건설, 제트콘코리아, 삼광산업)
협회, 조합, 중앙회, 공단 (KCTA한국케이블TV협회, 한국원심력콘크리트공업협동조합, 안전실천시민연합회, 환경보전협회, 한국광고주협회, 중소기업중앙회, 에너지관리공단)
벽지 회사 (개나리벽지)
인력 공급 회사 (유니에스, 오행종합개발)
금융 회사 (신한금융투자증권)",C
"일반 주택구입자
상가 구입자",D
"건설사, 시행사, 지주, 설계사무소, 주택소유자, 주택공사 외
건축주, 각 단종회사(설비, 전기, 통신, 토목 외)
주거, 상가 외 사용되는 자재(레미콘, 철근, 시멘트, 설비자재, 전기자재 외)
기타 모든 건설에 해당하는 모든 사업체",C
"자신만의 차별화 된 제품 또는 서비스로 사업을 하시는 사업주
신규 브랜드 런칭하고자 하시는 분들
자신의 제품의 외형을 권리화 하여 보호받고 싶어하시는 분들
외부 투자 또는 정부지원사업을 통한 자본화가 필요하신 분들
기술 담보 대출, 벤처기업 인증 등 각종 정부 부처의 인증이 필요하신 분들
매출이 많거나 적어 세무적으로 고민이 있으신 분들",C
"화학회사(석유화학회사, 유체이송관련사)
2차전기 관련회사(음극제, 양극제, 분리막 제조사)
폐기물 처리회사(폐기물 처리, 오염수 정제회사)
식품회사, 화장품회사",C
"전장용품, 멀티미디어, 산업용기기, 가전제품, 의료기기 등에 부품으로 사용되는 인쇄회로기판을 제조하여 납품함. ",C
"대한민국 국민
롯데 육가공과 같은 브랜드 육가공 업체",C
대기환경보전법 제 39조에 의거 대기 자가측정 혹은 자가측정 대행의 의무가 있는 모든 사업장,B
"제철, 제강회사",D
"축산업자(양축가)
동물병원
축산업협동조합",B
"한우사육농가, 사료회사",C
화학물질을 사용하는 기업체,E
"주고객 : 주택건설업 회원사
잠재고객 : 주택건설업 비회원사
넓은 의미의 고객 : 국민, 정부, 국회, 유관기관 등",A
"건물주나 부동산에 관심이 많은 일반인
임대차를 계약을 위한 소상공인",C
"현대건설, 삼성물산을 신규 목표로 하고 있음",C
"미용 관련업 종사자
미용대학 재학 및 관련자",C
"산업용 장비 제조업체
화학분석기 제조업체
환경분석기 제조업체
전기, 전자, 통신, 화학, 건설 등 산업전반에 사용하는 고기능, 고품질의 각종 금속외함 및 케이스를 필요로 하는 곳",C
"PP 백, 벌크 백, 컨테이너 백 등 사용 국내외, 회사
석유화학업체(한화, 한화토탈, 롯데케미컬, LG화학, SK 등)
건설업체(토목공사 등)
관공서(농협, 재활용업체 등)
일본, 베트남, 미국, 인도(시멘트, 곡물, 폐기물 업체 등)",B
"관공서 (나라장터 수주관련), 
건설회사
설비회사
자동차 제조사
건축 및 토목자재 제조사",C
"일반 개인고객
건물 시설 관리자
리모델링 시설업자
설비업자",D
"자동차 오너, 건설사, 시행사, 분양대행사, 아파트 모델하우스 방문 고객",C
"건설사, 철강유통회사, PC회사, 철근가공회사
철강재 가공회사",C
"1. 자동차 부품회사 (LG화학, LG이노텍, SK이노베이션 등)
2. 태양광인버터, ESS 제조사 (LS산전, 다쓰테크, 금비전자, 윌링스, OCI 등)
3. 온라인으로 샴푸 및 건강기능식품을 구입하고자 하는 소비자",A
"대한민국 반려인중 소득, 생활수준 상위 5% 이내 
광역시 이상 소재지 > 프리미엄펫샵 소매인",D
"건설사
시행사
건축자재유통점
인테리어업체",C
"건물을 팔려고 하는 매도인 
건물을 사려고하는 매수자(병원원장. 법인대표. 건물주 등)
부동산창업을 하려고 하는 예비창업자",C
"건설회사, 설계사무소
시행사(건축주)
국가 및 지방단체(관급공사: LH, SH, KH 외 정부 발주 공사)
아파트 입주자대표회의
금융회사(국민은행, 기업은행, 농협 등)",B
"신혼부부, 새집으로 이사갈 예정인 가정
각종 인터넷 쇼핑몰(CJ, 롯데, 쿠팡 등)
방송사 및 영화제작사",C
공공기관 및 민간기업,D
"관공서
대형 토지주 또는 개인 사업주
공장 및 축사 등 오너",C
대형 고속버스 운송업체 및 이용 시민,D
"건강기능식품유통전문판매원, 판매원(한국야쿠르트, 삼양사, 한국인삼공사, 롯데마트, 암웨이, 뉴트리원, 네이처스팜 등)",C
"제약회사(종근당, 동아제약, 대웅제약, 한미약품 등)
건강기능식품회사(서흥, 노바렉스, 콜마비앤에이치, 코스맥스바이오 등)
판매회사 및 OEM발주처(애터미, 프롬바이오, 인삼공사, 한국야쿠르트, CJ 등)
일반식품회사
농약회사(동방아그로, 한농 등)
디자인 회사 및 상품개발회사.",B
"건설사/건축주/시행사 층의 고객
주거용/상업용 프렌차이즈업체를 통한 제품 제안 고객층",C
"건설사, 정부 나라장터, 시행사",C
"일반 지인고액.
기거래 직장 단체고객(SBS방송, 주택공사, 난방공사, 한국수자원공사.
일반중소기업(파주 출판단지내 출판사, 구로공단내 전자업체)",C
"건자재 도매상, 대형 건설사 및 시행사 납품업체",C
"육군(군부대)
군인공제회(공우이앤씨)
건설,환경사업
오폐수처리장 설계시공
군부대 및 관공서",C
"완성차 제조업체(현대자동차, 기아자동차, 르노삼성자동차, 쌍용자동차 외)
완성차 수입업체(폭스바겐코리아, 벤츠코리아, BMW코리아 외)
자동차 용품 유통사(두코, 더미동, 팅크웨어, 만도 외)
해외 유통업체(아마존 외)
공공기관(조달청 외)",B
"당사가 생산하는 (건축자재)
상수도관, 하수관 ,건물내 오배수관, 스프링클러배관용 C-PVC관을 
종합건설사 설계지침이나 시방에 사용승인을 얻고 감리단의 자재승인을 득하면
실제 구매는 전문기계설비업체와 계약 납품하는 구조임.
건설사,설계사무소,설비회사, 시판대리점(건재상)",B
"고속도로 유료이용 국민
주주 (국민연금 외)
국토부 외 민간투자사업 관리 감독기관",C
"중앙정부, 지방정부, 정부(지방정부 포함)투자기관, 정부(지방정부포함)출연기관
토지주, 시행사, 건축주
아파트 분양 받을 국민, 토지(산업단지, 상업용지 등) 필요한 국민
건설사, 설계사, 감리사, 각종 단체(협회, 공단 등)",C
"토지주와 시행사, 건설사 설계담당 부서입니다",D
"트랙터, 콤바인, 이앙기 등에 들어가는 주물제품 및 유압기기의 농업기계 제조회사인 일본 구보타
공조부문 및 화학, 유압사업(공장기계, 산업설비, 건설장비의 유압기기) 생산 판매하는 일본 다이킨공업
제철철비, 산업기계의 그리스를 사용하는 유압기기
GREASE 관련기계의 일본 DLP㈜",B
"수출하는 회사, 수입하시는 모든 회사
수출시 포장이 필요로 하는 수출기업들
수출 수입하시는 모든 고객님들 특히나 안정적이고 지속적인 수출 수입 물량이 있는 고객님들",C
"건설사, 설계사무소, 시행사 등",D
"LH, SH등 공공발주 기관
공동주택 분양 세대주, 오피스텔 분양 1~2인 가구
각종 제안사업 이용자",C
"LH, SH등 공공발주 기관
공동주택 분양 세대주, 오피스텔 분양 1~2인 가구
각종 제안사업 이용자",C
"정부, 지자체, 국방부, 정부기관, 국영기업체, 정부투자기관, 
신탁사, 시행사, 개인(건축주, 토지주)",C
"카페 프렌차이즈 : 스타벅스 , 이디야 , 공차 , 커피스미스등 
식품 도소매업체 (커피/ 외식관련 유통사)
온라인 커피 몰 & 식품 몰 :  메카커피 , 씨엔티플라넷 ….
식품편집몰  : 쿠캣 , 윙잇 , 헬로네이쳐, 마켓컬리 ….",B
"B2C의 소비자(오프*온라인유통 SNS채널들의 소비자)
해외시장",C
"물류자동화 전문업체(LGCNS, SMC) 화학회사(롯데화학, LG화학, 삼영순화, 한덕화학)
자동차 생산업체(현대차, 기아차)
드럼 세척이 필요한 회사(파낙스이텍, 동화기업)",B
"KT통신, 기업인터넷통신업체
삼구정보통신",C
"전국 체인 매장 운영사 (LG유플러스, 이랜드그룹, 아모레퍼시픽, 롯데시니마 등)
디지털광고를 필요로 하는 프렌차이즈 기업
초등학교 (전국 돌봄교실 운영 초등학교)
공공기관(시청,구청,공단 기관 등)
학부모(유치원,초등학생을 둔 부모)",B
"건설사, 시행사, 분양대행사, 인테리어회사, 광고회사, 설계사무소, 박물관, 
과학관, 전시관
실물모형을 필요로하는 모든기업",D
"건축 인테리어 설계사무소, 시공사, 시행사, 조명설계사무소
상업, 주거건물 건축주
리모델링을 원하는 주부나 가장",C
"산업용냉장고, 건조기, 공조기, 단열 판넬, 마네킹, 의자용 시트, 등 제작업체",C
"자동차 부품 생산 및 조립 업체
(현대모비스, 현대위아, 현대다이모스, 만도 그 외 자동차 1,2 차사)
산업용 부품 및 철강사
(포스코, 현대제철, 세아제강 등)",B
"창호대리점, (창호)단종업체, (알루미늄)가공업체",C
"건설사(현대건설, 현대엔지니어링, 삼성물산, 대우건설, 롯데건설外) 
상업용 및 오피스빌딩 시공하는 시공사
공개입찰 발주를 시공하는 건설사
건설사 지명 입찰 
설계사무소 ",C
"기관 단체의 성격은 무관한 공공기관, 협회, 조합, 공제회
삼성 현대와 같은 대그룹, 중견기업, 중소기업
개인 자산가 및 일반인",C
"건설사, 정비사업조합, 설계사무소, 시행사, 건축주",C
"공공기관, 관련업종 종사자, 건물 관리회사, 식자재 관련 유통업자, 건물 건축주
각 개인 사업장, 개인 등 물 티슈를 쓰는 모든 고객",C
"에어컨.김치냉장고.TV.
침대.운동기구.쇼파
씽크대.공기청정기. B2B다양한 전자제품 기업",C
㈜만도 평택공장,E
정부 지방자치단체 중소기업 임직원 단체,D
"매월 정기적인 물량확보가 가능한 기업
부정기적인 대량물량, 시즌에 물량이 집중되는 것은 바람직하지 않음 
대량 물량이나 매년 경쟁입찰을 함으로써 장기적인 공장가동율 유지에 불안전성을
주는 가능한 회피
고부가가치 박스 필요기업
당사의 강점은 고품질인쇄(금박, 형압)등을 활용한 싸바리박스 등",C
"변압기 제조업체
구동 Motor 제조업체",D
"복식부기 의무 사업자
일정매출액 이상 사업자",C
국내외 모든 업종의 기업을 대상으로 핵심 인재 소프트랜딩 서비스를 제공하고 있습니다,D
"당사는 주 아이템인 공기청정기 도소매 및 렌탈을 하는 platform 회사를 지향하는 회사로 특정 타겟을 정한 건 없습니다. 공기청정기는 기업, 가정 등 다 필요한 제품입니다.",D
"일반소비자(전자상거래) 제품 카테고리 모두 있음(현재 판매 중인 제품 종류 약2500종류)
폐쇄 몰(대기업복지몰, 포인트몰, 공무원몰 등 특정집단을 목표로 하는 쇼핑몰에 입점 판매) 담당자 (현재 입점: 새마을금고 복지 몰, 엘지그룹 몰, 현대그룹, 엘지전자, 인천e음몰 등)
일반기업체 명절선물/사은품/판촉물 담당자",C
"국가기관 및 지방자치단체, 공기업
각 건설사, 설계사무소, 시행사
자재업체, 건설중기업체",C
대형 할인점을 제외한 국내 모든 소매유통 회사,D
"화장품을 필요로 하는 20~30대 여성, 남성
화장품을 필요로 하는 10대 여성, 남성
화장품을 필요로 하는 40대 여성, 남성
주름을 개선하고 싶은 50대 여성",C
"전기 전자 제조사, 화학회사, 반도체 및 반도체 원료 제조 회사. 전기 배터리 제조 원료 공급사.",C
"전국 조명 관련 기업
항공사(대한항공,제주항공등)
유한양행
마켓 컬리
지마켓",B
"기업 CEO, CXO
기업교육을 전문으로 하고 있으므로, 모든 기업이 대상
주로 기업의 HRD 담당자",C
"위생도기 제조업체
건설사
리모델링 전문업체
건자재 유통업체
설비업체
B2C에 해당하는 일반 소비자",C
"아파트를 대단위로 건설 기획하는 시행사.
(위생도기 및 타일 제품을 설계에 반영하여 스펙이 필요한 고객사)
종합건설사 (직접거래 행위=스펙 영업 결실)",C
"유통업(백화점, 마트, 기타판매시설)
금융업(은행, 증권사)
공공기관(도시철도공사, 지하철공사, KTX)
지방자치단체(시청, 구청, 주민센터)
신축건물 또는 리모델링건물
아파트건설사",B
"건설사
관공서
설계사무소",C
"전자제품 제조업체
 반도체 제조설비 제조업체",C
"소매금융 : 개인고객 (일반고객 및 자산가 그룹)
도매금융 : 기업고객",D
"서울 대치점(주력-브런치) (30~40대 주부 연령층)
분당 수내점(주력-빵&커피) (30~50대 다양한 연령층)
분당 정자점(주력-브런치&빵) (20~30대 젊은 연령층)",C
"공공기관, 전국 각 지자체 
시행사/건축주
1군 건설사, 건축 설계사, 엔지니어링 설계사 등",C
"건설사, 설계사무소, 토지주, 시행사
설비회사
주거용 건물 건축주
리모델링을 원하는 주부나 남편",C
"설계의뢰 건축주, 발주처
설계관련 건설사, 시행사, 협력사",C
"정유, 석유화학, 발전소와 관련된 회사",C
"정부기관
지자체
공공기관(한국도로공사,한공공항공사,인천국제공항공사 등)",C
대기업 1군 건설회사(시공사) 입니다. ,E
"각종 계약체결, 지급보증, 법령성, 해외보증이 필요한 업체
주거 안정 및 취업 교육훈련 관련 증권이 필요한 사람",C
"건설사, 설비회사",C
"과거에는 기업경영과 직접 관련이 있는 주주, 발주처(정부기관, 공기업, 민간기업 등) 둥과 같은 고객, 즉 Shareholder에 초점에 맞춰졌다면, 앞으로는 (요즘 기업경영의 최대 화두인) ESG경영에 적극 대비하고 대응하는 경영전략 차원에서 기업을 둘러싼 모든 이해관계자인 Stakeholder에 고객의 초점을 맞춰 나가야 할 시점임",B
