고객관계,label
"각 현장별 당사 책임자가 직접 방문하여 문제점 및 시공후 현장 직접체크
현장별 현장소장 (책임자)와 꾸준한 유대관계
주기적 업체 책임자와 소통",C
온라인 마케팅,D
"제품별 벤더와의 관계를 통해 고객범위 및 Needs 확인
제품에 대한 내부 Study를 통해 이해도를 높임
고객과의 미팅전 기업에 대한 사전조사를 통해 맞춤 컨설팅 준비
고객의 Needs가 발생하도록 가이드 및 제안",A
"폐기물 배출업소에는 당사 영업인력이 꾸준히 방문하여 원활한 처리에 대해 의견을 듣고, 스팀 수용가와는 운영팀과의 커뮤니케이션을 통해 스팀공급계획을 공유할 수 있도록 연락 채널을 둠",B
"피부고민에 대한 실시간 전문가 상담서비스 제공
유튜브, 인스타그램, 페이스북과 같은 온라인 채널 마케팅
당사 제품에 대한 불만족 시 무상 반품 및 환불조건 제공",A
"온라인으로 판매하기 힘든 소파의 특성상, 최대한 유선상으로 유도하여, 안내
매장으로 유도하여, 실제로 소파를 앉아보고, 만져볼 수 있도록 유도
실시간 온라인 상담 및 소파 가죽 샘플 제공",B
"조합원 요청에 따른 당사브랜드를 활용한 고객의 니즈파악
당사 영업부에서 시행사, 신탁사등 정기적인 미팅을 통한 소통
당사의 건축물 준공을 통한 품질관리, 브랜드관리를 통한 인지도 확보",C
"유통망 비활성화 지역에 대한 하부 유통채널 실태 정보 제공
보수용 시장 외 튜닝 시장 상품적용 제안 
산업용 기계 설비 시장의 상품 호환성 제안",C
"품질보장 및 공사원가 절감
공기단축 및 신속한 하자처리",C
"유명연예인 모델계약으로 브랜드 홍보
드라마 협찬 및 PPL을 통한 홍보
유튜브, 인스타그램, 페이스북과 같은 온라인 채널 마케팅
잡지 및 신문을 통한 브랜드 홍보",B
"유명연예인 모델계약으로 브랜드 홍보
드라마 협찬 및 PPL을 통한 홍보
유튜브, 인스타그램, 페이스북과 같은 온라인 채널 마케팅
잡지 및 신문을 통한 브랜드 홍보",B
"홈페이지내 회사소개서
운영중인 커뮤니티 매체내 광고집행 문의 코너 노출
광고 대행사와의 단톡방 채널을 통한 인맥관계 유지.
자동차 및 모빌리티 관련 포럼참석.
자동차 및 모빌리티 관련 박람회 참석.",B
"온라인 채널(홈페이지, 모바일, 유투브 등) 활용한 이벤트 등 마케팅 활동
전국 영업점 직원의 대면 및 비대면 마케팅 활동
기업 방문 컨설팅
오프라인 모임, 컨설팅 주최하여 정보 제공 등을 통한 마케팅 활동",A
"사업의 특성 상 현재는 인바운드 성격의 업무가 전체의 70% 이상.
별도의 마케팅을 통해 고객사를 확보해야 하는 시스템은 아님.",C
"경쟁사와 차별화된 고급화 전략을 통하여 소통  구매내역 리포트, 전담 컨설턴트 배치
지속적인 프로모션을 통한 고객 흥미 유발 
기업의 사회적 책임을 준수 ISO14001 등 인증된 제품 생산 유통, 수익의 일부를 매년 기부",A
고객이 필요한 사항(금융거래 등)을 경청 및 파악하여 최대한 고객 니즈에 충족하도록 힘씀.,C
"고객사의 제품 피드백을 통한 추가 니즈파악 및 기술의 업데이트 
열에너지 관련 섹터에서의 자문을 통한 전문성 제공",C
"신문기사, 각종 공시, 고객과의 communication을 통해 고객의 니즈를 파악 후 당사가 가지고 있는 전문 인원 들을 통해 제안 (특히 타 회계법인 대비 당사가 가지고 있는 강점 부각) ",B
"고객품질 문제 발생시 고객의 수용조건 100% 이행(선별 및 재발방지 방안등)
중국 저가 공세에 따른 끊임없는 원가절감 및 기술개발을 통한 고객목표 만족
고객만족 평가 및 스코어카드를 통한 지속적인 개선활동",A
"고객 맞춤형 CPC 전략 수립(고객유입 CPC, 고객관리CPC, 고객활성화CPC)
핀테크를 통한 디지털 영업
사회적 가치창출을 통한 마케팅, 기업 문화활성화를 위한 교육지원 서비스
VIP마케팅: 문화체험행사, 재테크 세미나, 건강검진서비스 등
명문 대학과 연계된 CEO 아카데미, FA 센터운영을 통한 고급재무 컨설팅 제공
 VOC를 통한 고객불만 소통 채널 운용(한화생명 SNS,보험월렛 App, ZUMO App 등)
현장업무지원 및 고객중심의 계약관리를 위한 콜센터 운용",A
"인터넷, 서면, 대면 등",C
"음식의 신선도 청결한 조리과정 손님의 의사 즉시반영 하여 
잠시 식사하는 동안 편안하고 맛있는 장소제공",C
"고객의 요청에 따라 당사만의 강점을 가진 기술제안을 통해 입찰참여 및 수주
국내외 세미나, 협회, 학회 등의 당사의 기술 및 홍보",C
"고객 니즈 파악 후 상품구성
모델 및 상품 촬영 후 마케팅 ",C
"손해사정(보상실무, 사례 등) 강의를 통한 전문지식 전파
SNS 및 블로그를 통한 마케팅 (관련키워드 검색기능 및 질문란을 통한 소통)",C
"각 물류센터 상주인원이 담당자와 자주접촉
sns 활용하여 상호소통 및 문제점 파악
정기적인 모임으로 soft한 관계 유지",C
"기존의 고객 관리로 인해 보험관리의 필요성 및 보험의 보상을 극대화
다양한 접근 방법을 통한 소통",C
"고객 불만사항 접수 즉시 사내전파 및 해결방안 모색 제시
생산중단시 대체 장비 및 대체부품 공급
타사 및 해외 제작장비 관련 문의 해결 및 수리
정기적인 방문 및 기술 자료 공급 ",B
"잠재적 고객 확보를 위한 회사 이미지 개선 활동
지속적이고 다양한 지역사회 공헌활동 동참
월 1회 이상 거래 파트너와 대화의 날 운영",A
"건설사 자체 위크샵 교육시 적극 참여하여 당사의 기술과 실적을 홍보함
당사의 임원들은 대부분 당사에서 신입부터 시작한 임원으로 주매출인 창호 수주는 함께 커온 고객사의 직원들로부터 실적을 얻고 있음
원간지(창호)에 지속적인 광고 홍보",B
"고객과의 지속적인 미팅으로 제품에 대한 내용 상의 및 기술적, 디자인적 부분에 대한 협의
기존에 사용되지 않던 제품들의 자료를 준비하여 새로운 제품 제안
시공이 진행되는 현장들을 방문하여 납품하는 제품들의 문제점 및 보완점 체크 수정",C
"편집디자인과 입찰 제안서 및 광고의 대한 입찰 참여방법
모바일과 SNS로 통한 고객 맞춤 서비스",C
"입찰 제안서 및 현상설계를 통한 입찰 참여
고객의 요청에 따라 공항 및 철도분야 건축디자인 및 기술 세미나
당사 영업부에서 목표고객에게 정지적인 브로슈어 홍보",C
"고객 패턴에 따른 영화 상영시간표 작성
시즌별 프로모션(할인, 이벤트 등)
온라인 채널 마케팅(유튜브, 인스타그램, 페이스북, 카카오톡)
당사 인프라를 활용한 제휴사 영업(회원포인트사, 제작사, 시행사)
온라인 뉴스",B
"담당 영업 임직원의 정기적인 온 오프라인 미팅
취급 자재에 대한 영업 담당자의 전문적인 지식 교육으로 고객의 문의에 대한 빠르고 정확한 답변",C
"현장 방문 등을 통한 고객 및 관련 업체의 불만사항 및 니즈 파악
기성 제품의 기능적, 비용적 개선 요구사항 수집 및 제안
기존 거래처를 통한 소개
신규업체 방문",C
"현장 방문 등을 통한 고객 및 관련 업체의 불만사항 및 니즈 파악
기성 제품의 기능적, 비용적 개선 요구사항 수집 및 제안
기존 거래처를 통한 소개
신규업체 방문",C
"SNS 마케팅을 통한 고객 유치
현장소장과의 미팅으로 소통",C
"고객 니즈 충족을 위한 개발진행
주요 고객사 방문 및 소통으로 끊임없는 유지관리
고객센터 운영 으로 신속한 처리
시장동향을 파악해 니즈충족 및 업데이트, 신제품 개발",C
"박람회,전시회 활동을 통한 브랜드 홍보
인지도있는 파트너와의 협력을 통한 고객 니즈 확보
물품공급계약을 통한 계약기간 동안 협력 강화
고객만족을 위한 마케팅 지속 및 공유",C
"할인행사,쿠폰증정등 고객타킷 프로모션 이벤트 실행
주요 온라인 채널 마케팅 상시 실행으로 인지도 강화
cs(고객응대)전담부서 운영을 통한 고객 이탈 최소화",B
"니즈 파악 및 유대관계 상향 을 위한 지역총판 미팅
유튜브 및 SNS홍보 ",C
"자문회사에 대하여는 지속적으로 대표이사 또는 법률담당자와 자주 만남을 가지거나 전화 등을 통해 법률적인 어려움울 사전에 확인하고 문제점 제시
인터넷 홈페이를 통해 최근 승소사례 업그레이드 ",C
"우수한 작품을 완성하여 고객의 이목을 자연스럽게 받는다,.
우수한 인재를 육성하여 좋는 작품을 생산하면 자연스럽게 고객은 확보됨",D
"기존 고객에 대한 서비스 강화 (지속적인 유지보수 대응)
신기술이 도입된 관련 서비스 솔루션 개발",C
"고객이 원하는 서류 안내 (금융거래 상황확인원, 이행 완료 확인섲등)
상품별 보증 내용 전달
보험금 청구 시 절차 안내 및 구비서류 안내
유대관계 유지( 계약이 갱신인 경우가 있기 때문에 지속적으로 키맨 파악)",C
" 당사 고유 model 을 판매.
 지역별 특성을 살린 model 변경 에 즉각적인 설게 변경 및 제조 공급으로 대응.
 유지보수 위한 특별 warranty program 실시로 추가 구매 유도, 지속적인 거래 관계 유지.",C
"1,정품, 정량, 정시, 정온의 기본충실을 바탕으로 
2,매일 배송을 통한 매월 1회 이상의 소식지 전달
3.꾸준한 dm발송,sns 의 활용 
4.오픈행사 참석 각종행사 지원 및 참여 (코로나이전)
5.행사지원,비품지원,교육지원,점검,",B
저희는 꾸준한 디자인 향상과 품질확보로 고객만족을 통한소통이 최우선입니다,D
"기존 금융사와의 경쟁을 넘어 빅테크와 직접 경쟁하는 시대가 도래하였지만 금융플랫폼 혁신을 통해 고객 접점을 더 확대하고 차별화된 서비스를 통해 NO.1 금융플랫폼 기업으로 도약
KB만의 차별화된 “마이데이터” 서비스를 통해 정밀한 고객 데이터 분석에 기반한 초개인화된 맞춤 서비스 제공",B
지속적인 발주처 현황 파악,E
고객의 요청에 부합되는 기술적 및 심미적 마스터 플랜을 통해서 pt또는 제안,D
"잠재 고객을 위해 시대 흐름에 따라 변화하는 브랜드 추구 및 기술적 장점 홍보
질 높은 주거시설을 공급해 고객의 만족도와 회사의 신뢰도를 높이는 아파트 품질경영 추구
사후관리가 기본인 철저한 품질 관리 (하자보수 및 보강)",C
"타사 보다 저렴한 공사비와 기 시공된 건축물의 품질을 보여줌
다양한 모델하우스를 참관하여 고객의 선호하는 방향을 컨택하여 적용
지역 광고 및 봉사활동",C
발주처와 지속적인 유대관계 유지,E
"주요 건설사/설계사 등 요청에 따른 당사 마케팅실과 연구소가 목표고객이 원한 제품(스틸 시스템욕실, 아파트용 패널제품 등) 관련 프로토타입 제작/품평으로 고객과 수시 소통
고객사 입장에서 제조원가 절감, 생산성 향상, 대형 프로젝트 수주를 지원할 수 있게 하는 등 솔루션 및 당사의 대내외 네트워크 지원
당사 마케팅실에서 개발 완료된 강건재 상품(당사 철강재를 기반으로 제작/판매되는 내외장재 등
  2차 제품)을 건설사/설계사 등 목표 고객에게 제안 영업
시장을 선도할 수 있는 기술/제품 공동개발을 위한 이해관계자/신규 고객사와의 업무협약/홍보
당사 커뮤니케이션실에서 SNS, 유튜브 등을 통한 온라인 채널 마케팅",B
"지속적이고 다양한 사회활동 참여
고객 목소리 경청
홍보 및 판촉 활동",A
고객 만족을 위해 정확한 납품을 지향 합니다.,E
"고객만족을 통한 평생 가족과 같은 관계를 유지하며, 지속 가능한 건물을 완성하여 A/S를 제로화에 주안점을 두고 있습니다.",C
"신규제품 개발을 통한 홍보 및 정부시책에 따른 필요 안전시설물 파악 
카다로그 만들어서 제품 홍보
영업부에서 건설사,지자체,교육청,설계사무소 제품 제안 및 자료제출",B
"수요처별 예산파악후 설계사무소, 건설사, 지자체, 공사 등 필요한 제품과 규격에 맞춰 홍보",D
각 수요처별 한해 예산을 파악하고 박람회 및 제품홍보,D
관공서 및 보건소 예산 파악 후 경쟁입찰 참가 및 필요물품 재고확보,D
"온라인 마케팅, 이벤트 행사, 광고",C
"영업과 마케팅의 중간조율, 영업과 생산의 중간조율, 각 거래처의 수요를 파악, 당사 최적의 생산량 및 판매량을 결정 ",D
"협력사 방문, 홈페이지를 통한 고객지원
창의적인 솔류션 제시",C
타 난방방식 대비 효율성과 친환경성이 우월함을 강조,D
"소개를 통한 보험계약, 개척을 통한 가망고객발굴
홈쇼핑을 통한 데이터 베이스 영입",C
"고객과의 지속적인 소통을 통한 업무협력, 고객이 요구하는 단가&품질수준 지표관리를 통한 거래조건 유지",C
"각 건설현장 담당자들의 역량 강화를 통한 신뢰 확보.
정밀 정확 시공으로 경쟁력 강화.
정확한 공기준수",D
"신문 뉴스를 통한 PR, 드라마 PPL
비데 관련 이벤트 행사",C
"고객과 기술미팅을 통한 제품개발 및 제안.
안정적인 품질과 서비스로 고객만족.",C
"고객 방문시 최고의 서비스로 대응한다
최고의 고객 확보 및 네트워크 강화",D
"지속적인 영업 및 사후관리 소통
문제점 개선 및 빠른 대응
지속적인 개발 및 제안서 제출
납기, 품질, 서비스, 운송에서 지속적인 체크 및 개선",C
"지속적 On Line 
라디오 광고
전자기술 잡지 광고
전자신문 신문 광고",C
"고객의 니즈 파악 후 프로그램 개발 제안 
신문, 매거진, 인스타그램, 페이스북, 인터넷 채널을 통한 부연 설명",C
탁월한 분양대행업체 발굴,E
"사후관리 철저(A/S와 지속적인 의사소통)
하자 없는 시공으로 고객 만족도 상승
지속적인 영업과 광고",C
"실제 저 스스로 지식재산권이 필요한 주체가 되어 지식재산권을 통한 다양한 혜택을 누려보는 것
유튜브 상에서 지속적으로 나의 컨텐츠 쌓아가기
지식재산권 관련 어려움을 겪고 있는 분들 찾아가기",B
"당사 영업부에서 주최하는 기술세미나를 통하여 제품설명과 고객과의 소통을 통하여 현장에 가장 적합한 제품 솔루션을 제시한다.
정기적인 기술적 지원을 통해 끝까지 책임지며 하자처리(Warranty)를 제공한다.
품질, 기술, 고객관계를 바탕으로 신뢰를 구축하여 지속 가능한 제품 공급 ",B
고객의 요청에 따라 당사 영업부와 목표고객과의 제품관련 기술능력 PR 및 고객의 정확한 요구사항을 파악하여 대처함.,C
일관성 있는 돼지고기 제품을 생산,E
"환경기술인 협회와 같은 업체 환경기술인들이 참여하는 공공 교육 혹은 민간 컨설팅 교육 참여하여 네트워크를 형성한다
기존 거래 고객에 대한 니즈를 파악하고 양질의 신뢰성 있는 서비스 제공을 통해 인적 네트워크 형성한다
환경분야 공사 인허가 대기관리 대행 등 토탈 솔루션을 제공하여 당사와 거래에 대한 긍정적인 인식을 갖도록 노력한다.",B
"제공된 규격기준의 준수를 통한 안정적인 공급으로 신뢰확보.
지속적인 사용처 목소리에 귀 기울인 품질관리 피드백",D
예비고객에 대한 지속적 방문,D
기존 컨설팅거래처(고객)의 소개 ,E
"직접 방문, 팜플렛 등을 활용, 인터넷을 통한 홍보",C
"실무자간 분과위원회(네트워크) 등을 조직하여 긴밀한 정보공유
임원사 정기 회의, 간담회, 오찬 등 개최하여 소통의장 마련
책자 발송, 세미나, 설명회 등을 통한 회원 서비스 제공",C
정확하고 신뢰성 있는 취재와 기사로 고객 만족 극대화,E
"고객의 요청에 따라 당사 기술팀에서 엔지니어링 예측모델을 제시히고 이를 통하여 고객의 신뢰 확보, 이는 향후 수주로 이어지는 선순환 투자로 이어짐
신규 개발품-국내법기준에 맞는 신제품-제안을 통하여 고객사의 신규 분양아파트 등에 적용할 수 있는 모델안을 제시 하여 소비자 Needs 만족=>분양경쟁력 향상",C
"1:1 대면 방문을 통한 제품설명 시연시술 
 빅바이어를 상대로 신상품내지는 개발 제품은 시판 전 무료 사용을 통한 우선권 부여
 중국 공장 직영으로 유통 마진을 줄여 저렴한 가격 제시 ",B
고객사와 계속적인 거래관계 및 고품질의 제품을 생산하기 위하여 고객사와의 정기적인 기술 미팅을 통하여 고객사의 니즈를 파악하고 고충을 해결함으로써 폐사의 신뢰도를 높인다,C
"고객의 요청에 따른 영업담당자의 방문, 컨설팅을 통한 최적(안) 제안
수시적, 주기적으로 고객사 방문을 통한 니스 파악 및 당사 강점 홍보
베트남 공장 시설 개선과 크린 룸을 통한 홍보",B
"고객의 요청에 따라 당사 영업부와 목표고객과의 제품 관련 기술세미나를 통해 고객의 니즈 파악
하자가 발생하지 않도록 좋은 품질 공급하며 부득불 하자 발생시 발 빠른 대처로 불만 해소 시킴",C
"제품 선택 시 제품에 대한 정확하고 올바른 정보 전달을 위한 친절한 상담 
필요한 제품 신속하고 정확한 제품 전달 ",D
"자동차 또는 거주지역 창문에 틴팅을 시공하기 전에 열차단의 효능을 직접 체험 할 수 있도록 체험키트로 고객에게 직접적인 효능을 알려줌.
대형 1군 건설사와 꾸준히 거래함으로써 제품의 품질 및 효과는 이미 검증되었음을 알려줌.
인터넷 체험단을 통한 객관적인 평가를 받은 후 내용 공유(네이버 카페, 블로그, 페이스북)",B
"꾸준한 업체 방문으로 영업 네트워크 구축
신문광고와 온라인 광고를 통한 회사 홍보
시연회 개최를 통한 직접적이고 적극적인 영업
경쟁력을 갖춘 시설과 장비를 활용한 수주전략
동종업계와의 네트워크 구축",B
"지속적으로 새로운 제품에 대한 정보를 제공하고 해외 선진 업체들의 사례들을 제공함으로써 고객의 향후 개발 방향을 함께 협의하고 그에 따른 기술적, 업무적 지원을 함으로써 고객이 경쟁사에 비해 더 좋은 제품을 빠르게 확인하고 지원받고 있다는 것을 알게 함으로써 고객과의 유대관계를 유지할 수 있음.",C
"본사 자체운영 오프라인 매장으로 방문유도 ( 체험, 시착 등 실물확인후 구매욕구 고객 유치 )
SNS를 통한 SALE행사 
제품리뷰 작성후 사은품행사로 제품 사용후기자료 확보 (마케팅자료화",B
"지속적인 교류를 통한 고객의 needs를 파악
직접생산과 직접공사 하는 업체라는 강점 어필
시장의 최신자료(변경된 법령, 개발제품 등)제공",C
"텔레마케팅 콜센터를 운영하여 매도인에게 주기적으로 진행현황 보고하며 소통함
네이버카페나 유튜브에 고객이 좋아할만한 부동산정보를 주기적으로 올리고 서비스를 신청하는 고객의 접수를 받음",B
"고객과 협력회사의 업무미팅을 통해 고객의 요구사항, 만족수준에 부합하는 소통 및 의사 공유
고객의 요구사항 제안 및 현장 시공에서의 품질, 기술, 하자 등의 부분에서 기술 및 VE제안으로 신뢰 구축
관련법규 등 변화하는 부분에 대한 지속적인 교육에 대한 참여로 회사간의 원활한 소통 및 업무 공유
최선을 다하는 입찰의 참여로 원가에 대한 신뢰 향상",C
"홈페이지의 문의하기 게시판 운영
인스타그램, 페이스북, 블로그 및 카페를 통한 마케팅
제품 클레임시 신속 응대로 고객만족",C
"목표고객에게 제안 영업
고객이 찾아오도록 기술 축적",D
"홈패이지, 블로그, SNS 등 지속적인 업데이트
건축주, 공장주 등 사업 예상 고객을 상대로한 제안 영업
건설사, 시행사 및 건축 전기 공사업체 등을 통한 제휴 영업",D
"고객인 운송업체로부터의 설비 개선 제안이나 서비스 제공 요구에 대한 협의, 자체적인 서비스나 설비 등에 대한 개발 제안 등",D
"당사 영업부에서 제품 개발단계에서 정기적인 기술적 장점 홍보, 커뮤니케이션 진행
고객의 요청에 따라 영업부와 목표고객과의 제품관련 협의를 통한 고객 니즈파악후 제품 진행
인맥을 통한 고객목표 설정",C
"당사의 패키징 필름을 사용하는 고객사의 생산부, 품질관리부서 직원과의 주기적인 미팅을 통해 사용상 불편사항을 지속적으로 모니터링 및 시정, 보완한다.
고객사의 신규설비 도입 시 테스트용 샘플제공 및 시운전에 적극 협조한다.
구매부서를 주기적으로 방문하여 애로사항을 경청하며 문제점을 해결하도록 한다.",C
"설계사무소에 시험성적서 및 인증서 대응 활동 / 지속적인 신뢰감을 통한 제품관련홍보
구매자 실질적인 수요업체를 통한 경쟁력 있는 견적 제안
최근 디자인 트랜드 및 시공 현황에 따른 공유 활동",C
고객의 업무 담당자와의 직접 대화를 통한 니즈 파악,D
"정기적인 건강관리 소책자 배포.
개인정보 동의 고객에 대한 보장분석내용 전달.
연말 소득공제 자료배포.
기계약자에 대한 안부인사 --- 1일 1사원 5명.",C
"고객의 요구 조건에 맞는 끊임없는 중국 공장 개발로 고객의 요구에 사전 준비 또는 선 제안
중복투자로 비용은 증가되나 차차선책 준비(중국 거래공장에 주요품목 중복개발) (거래중단 , 급격한 가격인상, 국내 업체 침범 등 대비)
이익은 고객이 우선 , 손해는 당사가 우선 정책(대세는 당사가 이익임: 신뢰)",B
"제품에 대한 유형에 서비스와 무형에 서비스를 제공 고객에게 지속적인  서비스 제공
지속적인 기술 개발과 숙련된 기술자 양성으로 제품의 기술력 확보
특허 및 저작권 확보로 기업의 기술력 및 제품 홍보
고객과의 제품에 대한 매뉴얼 수칙에 의한 행동 준수",C
"고객의 요청에 따라 주기적(월별, 분기별) 사업기획 및 세미나로 고객 니즈 파악
동종업계 경쟁사 비교 분석, 신기술 접목한 시제품 제작 및 품평회를 통한 제품 제안
지분 투자를 통한 사업이외의 유대관계 강화",C
"당사는 매스컴에 노출이 종종되었고
(YTN 강한중소기업이…, KBS 중견만리등..)
과거 30여년전에 타사보다 월등한 기술력의 제품을 생산하여 인지도가 있음.
기계설비 유관단체인 대한설비공학회, 한국설비기술협회 이사회 등에 참여하여
건설사,설계사,학계 관계인사와 정기적인 교류 및 기계설비협회 행사,세미나 등에 참여",C
"안전시설 설치 및 대국민 안전의식 홍보 플랭카드 설치
고속도로 사망자 숫자 저감노력 홍보함
신기술 도입으로 업무혁신
우수 사업사례로 홈페이지 및 방문 응대 등 대내외 홍보",B
"전국적으로 사업성 있는 사업들을 선별하고 그와 관련된 기관에 제안영업
(각자의 니즈에 맞을 때 추진)
회사의 재무건전성을 적극 홍보함
당사의 실적을 적극 홍보함(실적부족시 공동도급추진)
아파트사업 입주민 대상 : 품질의 우수성 홍보/하자 최소화 및 조속조치",C
"뛰어나고 디자인 우수하고, 설계 VE 기법이 고려된 설계안이 우선입니다.
모든 고객 관계는 설계안이 최우선으로 제안합니다",E
"의사소통이 원홀한 인간관계의 유지를 위해 인내 및 포용력
역지사지의 생각으로 고객과 공감하고 이해하기
공감하고 느꼈다면 변화하기
동기부여이론 및 리더십이론을 자주 생각하고 실천하기",D
"대체로 메일로 이루어집니다.
전화 또는 직접 방문을 통한 우리 회사 홍보 및 신뢰 유지
우리회사 실적 홍보를 위한 프리젠테이션과 실적자료 발송 등 방문과 전화나 간혹 메일 또는 인터넷 홍보 ",D
"직접 방문을 통한 당사 소개와
관련 지인의 추천을 통한 우리회사 소개 추천",D
