핵심활동,label
"학교급식센터 납품선정을 위한 평가표 이상 없도록 원산지 이력관리, 위생관리, 식품위생법, 품질관리를 잘 한다",C
4번질문에 대한 답변과 동일함,E
"유통회사의 생존의 기본은 품질 좋은 상품의 지속적인 발굴을 통해서 제품이 보편화 되기전에 고부가로
 판매를 하는 것이 핵심. 계속적인 제품 소싱과 현재 제품의 다양한 패키지화를 함.
마켓팅 비용의 절감을 위하여 지속적으로 비즈니스 관련된 모임, 회의 등에 참석하여 인적네트워크를 통한
 관계망 형성으로 판매의 성공율을 높이는데 주력하면서 비즈니스 방향도 B TO C에서 B TO B로의 확대에 관심을 두고 활동.",B
"중소기업 재무분석
중소기업 자금조달 계획 및 조달프로세스 제안
각종 인증서 신규 및 발급
기업부설연구소 설립 및 관리
정부지원금 신청내용 및 절차 지도
창업자 사업계획서 지도",B
"IMG 자체가 브랜드로써 후원사들의 신뢰를 받고 있으며, 자체 연계되어 있는 타 그룹들을 후원사들에게 소개해주고 추가적인 베네핏을 받을 수 있는 기회를 제공합니다.",D
기존 사용 원료 대비 저렴한 원가 및 풍부한 물성이 나오는 제품 추천 및 발굴,C
"타일 트렌드 정보 획득을 위한 시장조사 (해외출장 및 국내시장)
시공자가 선호하는 경향파악(타일규격 및 부자재 등)
수입원(중국 및 국내제조사)의 정책방향 파악 (단가정책 및 생산가능 제품 등)
영업력 증대를 위한 직원교육 (타일전문지식 및 건축경기 동향 등 시장흐름)",A
"제품 공급 기회 확보 및 경쟁적인 견적 제출
설치 공사 기회 확보 및 경쟁적인 견적 제출
노후화된 시설을 보유하고 있는 고객을 방문하여 성능 개선 혹은 문제점 해결 방안 작성 제시",B
"방송장비 제품 개발(시스템과 소프트웨어 개발)로 조달 시장에서의 선점 효과를 노림
Operation Instalation (제작, 설치 ,운영, 교육, A/S)을 통해 고객과 지속적인 관계를 갖음 ",C
"고객의 니즈를 정확히 파악, 대출한도 및 금리등 고객 맞춤 서비스
신규고객 창출을 위한 꾸준한 홍보활동 및 직원들의 전문성 강화",C
"적기 공급을 위한 창고운영 노하우를 극대화
적절한 인원 운영을 통한 효육극대화
재고관리, 입출고 배송 관리의 효율화를 위한 현장 직원 역량 강화",C
"기존고객 : 신규현장 파악 및 현장 선도적 방문 영업,  
협력업체 지속적 유지를 위한 활동 및 프로젝트별 입찰참가
신규고객 : 인맥 및 무작위 방문 영업
메이커의 신제품 개발시 메이커와 기존 및 신규 거래선 공동영업 : 공기절감, 친환경요소등
신규 아이템 지속적 개발",C
"모델하우스 및 리모델링 사전 영업을 통한 주택 욕실 설계 제안
설계 반영을 위한 도면을 건설사, 설계사무소, 시행사 제안 영업
당사 영업팀에서 파악한 고객 니즈를 제품개발팀에서 기술 개발을 진행하여 특허 등록
기존 거래를 하고 있는 목표고객에서 신규 프로젝트 진행에 필요한 협의 요청시 당사 영업팀에서 대응 활동",B
"안정적이며 지속적인 매장관리를 통해 고정적 보장 수익금 발생으로 고생한 만큼 보상 받는다는
 인식을 심어줘 신규점주 소개 또는 관심대상 창출을 기대,
지속적인 신메뉴 개발로 노력하고 앞서가는 브랜드로 인식
메뉴개발로 인한 지속적 원가절감으로 본사나 가맹점 모두 수익금 up
정년퇴직 및 직업전환 예정자를 지속적인 사업설명회나 광고로 신규매장 창출",B
"품질관리 활동 : 생산, 제조업체 관리
브랜드 관리 : 오프라인 점포 컨셉 유지
       지속적인 콘텐츠 제작, 배포
CRM 활동 : 포인트 카드 제도 운영
로열 커스터머 특전 제공
지속적인 제품개발 : 신제품 개발 
신규고객 확보가 가능한 딜러 활용",A
"고객사의 요구제품 파악 및 협업을 통해 제품설계에 반영
모델하우스 설치 제품에 대한 최종 소비자의 평가 및 반응 데이터 조사(수집)
납품 기간을 미리 파악함으로써 고객사의 공기지연 방지 및 수시로 설치 상태 확인
하자 발생 시 7일 內 해결하는 것을 목표로 지속적인 확인
우수 적용사례 타 고객 홍보 및 적용",A
"인맥을 통해 연락이 온 고객에게 집중영업
기존 거래처의 포장작업보다 효율적인 방법 제시
납품 기간을 미리 파악하여 납기일 준수
보다 경쟁력 있는 단가의 제품 제공",D
"가장 ERCO 제품의 사용량이 많은 미술관 & 박물관의 기존고객을 유지하고, 신규 고객 유치. 
ERCO를 사용하는 미술관, 박물관 현장이 점점 포화상태로 감에 따라 건설사 영업을 시작.
디자이너들이 좋은 조명을 편안하게 제안할 수 있도록 다양한 데이터 및 서비스 제공.
미래의 고객 유치를 위해 다양한 교육 프로그램 진행.",A
"모임과 단체활동으로 인한 관계유지
광고와 인맥을 통해 연락이 온 목표고객에게 영업활동을 한다",E
"다양한 소비자 니즈를 충족시키기 위한 지속적인 친환경 제품 검색 및 소싱
소비자의 구매 가능성을 높이기 위한 제품별 적정 마진의 판매가 책정
판매 상품 홍보를 위한 일일 인스타그램 게시물 작성
상품 재고의 적정선 유지를 위한 일일 재고 파악 및 발주
잠재 고객의 자사 인스타그램 팔로우 유입을 위한 환경 관련 소식 전파
정보 획득 및 협업을 위해 동종 업계 대표님들과 지속적 유대관계 유지
매장 유지 및 제품 사입을 위한 자금 확보
청결한 매장 유지 관리",A
"목표고객과 공정 협의를 통해 적시에 현장 시공
광고마케팅후 연락온 목표고객에게 영업활동
기존 거래하고 있는 목표고객에게 주기적 영업활동",C
"심사숙고하여 입찰진행
온라인 마케팅",C
"내부 엔지니어 양성을 위한 조직구성 및 육성
제품에 대한 Study 및 내부 Test를 통해 기술에 대한 숙지
영업활동을 통해 고객 Needs 파악 및 제안
수의계약을 통해 제품납품 및 프로젝트 진행",B
"장치산업의 특징을 그대로 갖고 있으며 효율적인 설비운영을 통한 가동률 제고가 가장 중요하며, 이를 위해 당사의 소각로 타입에 적합한 성상의 폐기물을 반입하도록 영업전략을 세우고, 소각로 투입이 용이하도록 전처리 작업을 원활히 하는 것에 초점을 둠. 특히 환경산업은 인허가 산업이며 규제가 매우 까다롭기 때문에 규정을 위반하지 않도록 철저한 공정관리가 매우 중요함",C
"시즌 이슈 및 고객 분석을 통한 피부고민 솔루션 제공
일반 화장품 및 의료기기 접목을 통한 솔루션 확대 및 피부 분석 솔루션 개발
세분화된 마케팅 전략을 통한 고객 타겟별 차별화된 상품 공급
중국 내 체계화된 현지 유통망 개척 및 지속 확장",B
"이탈리아 회사에서 가공한 천연면피 가죽을 통한 질 좋은 소파 제작
타 브랜드와는 다르게 가죽에 원목을 접목시킨 원목소파 제작
가죽 방석이 탈부착 되는 분리형이라, 가죽방석만 교체하면 반영구적으로 사용 가능",C
"브랜드 를 이용한 건축물의 신뢰도 확보 및 경제적 상승요인
건축물의 품질우수, 하자보수 신속하게 처리하는 입주자들의 입소문
원가경쟁력을 통한 수주",C
"구매 생산공장별 생산 forecast 파악
경쟁품목 판촉을 위한 캠페인
POS 시스템을 활용한 적정재고 구매 유도
대체 상품 제안 활동 ",C
"임시전력 및 예산작업
지속적인 관계유지",E
"브랜드를 가지고 있는 모든 유통회사들과 마찬가지로 브랜드를 알리는 것임.
 당사는 30년가까이된 모회사인 ㈜세원아이티씨와 ㈜브라이언앤데이비드는 해외명품브랜드를 선글라스와 안경테를 수입하여 국내 유통하는 회사로서 과거 국내매출의 50%가 넘는 비중을 차지하고 있었으나 이는 타 브랜드를 홍보하여 수익을 발생시키는 것이라`
 8년전 “VEDIVERO”는 브랜드를 만들어 많은 모델료와 홍보비를 지출하여 브랜드를 알려왔으며, 향 후에도 제품의 퀄리티와 브랜드이미지를 높혀 국내 및 해외 명품브랜드로 발돋움하는 것임..",C
"수입한 브랜드의 인지도를 높혀 매출을 극대화 시키는 것임..
당사는 30년가까이된 모회사인 ㈜세원아이티씨와 해외명품브랜드를 선글라스와 안경테를 자사가 디자인하여생산의뢰 후 수입하여 국내 유통하는 회사로서 과거 국내매출의 50%가 넘는 점유율을 갖고 있었음.",C
"가망고객사의 기업조사를 통한 현황파악 및 니즈파악
광고집행 이력조사
마케팅 효과를 높이기 위한 컨설팅 작업.
기존 거래처 핵심인력과의 네트워크 유지.
자동차 업계와 관련된 국가정책방향 확인 (청와대발표, 언로보도, 자동차 관련 포럼 등을 통해)
광고상품 기획
파생 가능한 신사업 기획.
내부 인력관리 (자발적인고 체계적인 업무 인수인계가 가능한 역량확보 및 인성교육 중점)",A
"보안 시스템 구축으로 고객(정부, 기업, 개인)의 개인 정보 보호
마케팅 시스템 구축, 인재 발굴, 교육 등을 통해 고객의 목표 지원 활동
기업 및 개인에 맞는 상품 개발 및 선정하여 고객의 필요 사항 충족
고객의 재무 이외 비재무적 활동도 지원
마케팅 이후 사후관리 활동",B
"고객사의 상담 요청이 접수되면 재무자료 등을 먼저 요청하여 사전 검토 후 약 2회에 걸쳐 대표이사 및 주요 경영진과 상담 후 고객사의 요청하는 업무내용과 향후 3개년의 사업 계획을 검토.
기업의 기술적인 지표(특허권, 기술인증, 연구소 등등)와 재무지표(재무지표의 개선점, 향후 가결산 시 참고해야 할 사항, 개선되어야 할 지표 등), 인사, 노무, 경영환경 등을 검토 후 기업에 대한 경영평가를 수행하여 분석하고 기업을 진단.
경영진단 및 자문 계약을 할 경우 최단 1년~최장 3년 간의 로드맵을 수립하고 실행단계 별로 지도, 코칭을 진행.",B
"지속 가능한 비즈니스 모델 제안  라운지 서비스 , 정기 구독 서비스
고객의 규모와 예산에 맞는 맞춤형 관리  대형 고객사는 전담 매니저 배치
핵심 제품들은 유럽의 규정에 맞게 자체 생산하여 판매
그룹의 오랜 관리 방법을 전세계 지사에서 공통적으로 운영하여 관리",B
"금융회사 선도기업으로서 국가 경제발전에 이바지하고, 우량기업 발굴 및 지원, 종업원들의 각종 금융지원, 
우량 개인사업자 및 우량 자산가의 유치로 고객은 자산 보호 및 증대, 은행은 수익 창출 및 고객 자산 보호",B
"꾸준한 기술개발을 진행하며 제품군 확장 
거래처들과의 협업을 통한 제품 업데이트 
열에너지 관련 섹터에서의 기술 및 연구 자문 팀으로 활동 ",C
"회계감사 : 상장사 및 비상장사, 세무조정
Private Accounting : IFRS, 내부회계시스템 등 회계시스템 구축, 기장업무
M&A 자문 : 인수자문 또는 매각자문
평가 : IFRS 등의 회계기준에 따라 요구되는 투자자산 (종속회사 주식, 전환사채 등) 또는 파생상품 부채 등에 대한 평가
실사 : 대상회사에 대한 손익, 자산 부채 현황, 현금흐름 및 현금 창출능력 등을 실사하여 대상회사에 대한 정확한 판단 및 관련 리스크 파악
재무진단 : 각종 관청/공기업 들이 요구하는 서류 작성
전략 컨설팅",A
"각 테마별 활동
 1) PI (제품 이노베이션)
 2) SI (판매 이노베이션)
 3) FI(설비 이노베이션)
 4) QI(품질 이노베이션)
 5) OI(수평전개 이노베이션)",B
"경제적 가치 활동: 지속적인 성장과 시장경쟁력 확보를 위한 판매채널 혁신
신계약 가치증대를 위한 보장성 보험 확대 전략 및 FP정예화 및 전문화
 미래성장 동력 가속화를 위해 2030세대를 겨냥할 수 있는 유연하고 스마트한 조직구조 시스템 구축
고객 및 회사의 보호를 위한 장기 안정적 운용, 위험을 고려한 수익추구, 적정 유동성 관리의 자산운용
 ESG의 관점에서 환경요소를 고려한 투자 및 SOC의 공공성과 사회성을 지닌 투자
 차별화된 종합자산컨설팅을 통한 부유층 시장 공략
 적극적인 현장 중심의 업무지원 및 고객중심의 계약관리를 통한 고객가치 창출",A
각종 채널을 활용한 대출 및 예금고객 확보,D
"매번 계절에 나오는 신선한 야채와 식자제로 다른 음식점과 달리 차별화하여 
식단은 준비하여 좀더 나은 음식을 제공하는 것",C
"사전영업 활동을 통한 발주처의 니즈 파악
기술 개발을 통한 당사만의 강점 강화
최초고객의 원활한 관계 형성으로 제 2, 3의 프로젝트 계약 성사
브랜드 이미지 상승을 통한 잠정 고객 확보
공기지연 방지 및 사고Zero을 통한 수익 창출 극대화",B
"품질 관리로 하자 없는 상품 생산
사후 A/S서비스",D
"보험대상자 보험사고 발생시 그에 대한 상담후 손해액 산정, 진행방향 안내
본인의 장점 및 약력, 실제 보상사례를 통한 신뢰감 구축",C
"다양한 물류 유통 서비스와 보유하고 있는 영업용차량(1톤 냉동 탑차, 대형차량 등등) 및 영업용 넘버 판매와 배송기사 채용
대한통운, 한진물류등 대형 유통사와 협력관계 유지",C
"가망고객 발굴 >TA > Approach (Fact & Feelings Finding)> Presentation & Closing>
소개>증권전달>고객관리 총 7단계",B
"고객 관리 및 A/S 
원가절감을 통한 경쟁력 제고
생산기술 공동개발
특화된 규격화된 제품으로 시장 지배력 강화
해외 기술 및 장비 기술 소개
높은 자체생산비율(90%)",B
"건설 허가청과 유대를 통한 유용한 정보 사전 확보
건설사, 시행사, 건축주 등 지역사회 애로사항을 파악하고 해결을 통한 하도급 계약
사업영역 확대를 통한 투자 시너지 창출
협력업체와의 통반자관계 유지 및 네트워크 마케팅",C
"초기 설계시부터 설계 사무소의 커튼월 컨설팅을 통해 제품을 홍보하고 당사만이 가능한 스팩으로 입찰전에 미리 작업함.
시공 후 하자 보수에 대해서는 시공팀과 사후 관리팀이 적극 개입하여, 고객의 불만을 최소화하고, 당사를 불량 없는 회사로 각인시키기에 노력함",C
"사전에 현장을 파악하여 고객의 요청이 들어왔을 때 발빠르게 대응이 가능하도록 함.
고객의 니즈를 파악하여 제품 개발 및 디자인특허 및 제품특허 등록
당사 영업부 및 관리부에서 주기적으로 현장에 연락을 취해 공기파악, 제 때 제품 납품을 진행하며, 현장의 여건에 맞춰 제품 수정하는 등 현장에서 어려움을 최소화함.
고객에게 주기적인 방문을 진행하여 새로운 제품 소개 및 영업활동 진행",B
"신규 영업에 목표 사업을 지향합니다.
입찰과 수의계약 활동
기존 거래처 유지와 유대관계 유지",D
"입찰 제안 및 현상설계를 통한 신기술 및 신공법, 디자인 제안
고객 니즈를 분석하여 목표 사업의 성공적 완수 및 사업이익 극대화 제공
기존 거래를 하고 있는 목표고객에서 신규 프로젝트 진행에 필요한 협의 요청시 당사 대응 활동을
  통해 고객과 지속적 유대관계 유지
항공우주산업 등 미래가치 사업에 지속적 지원 활동",A
"영화관: 차별화된 플랫폼 확장 및 관리, 프로모션
영화제작: 유명 감독, 주요 제작사 작품 계약, 제작 지원
드라마제작: 우수 작가, 제작사 작품 계약, 제작 지원
신사업: OTT시장 진출, 신사업 모델 개발
비용/원가절감: 신축 영화관 공사비 절감, 고정비(임대료, 관리비, 인건비) 절감",A
"거래 업체 및 현장에 대한 담당 임직원의 온 오프라인 영업활동으로 거래처와의 유기적인 협력 관계 형성
제조사(KCC/USG BORAL)와의 구조체에 대한 지속적인 연구개발",C
"거래처 방문 및 공사현장 방문을 통한 수요개발, 성능개선, 제품제안
OEM제품의 사용현장 방문을 통한 기술지원
신규거래처 방문 기성제품의 개선 요구사항 청취 및 제안
해외진출사업(인도네시아 현지 공장 기술, 생산, 영업지원)",B
"거래처 방문 및 공사현장 방문을 통한 수요개발, 성능개선, 제품제안
OEM제품의 사용현장 방문을 통한 기술지원
신규거래처 방문 기성제품의 개선 요구사항 청취 및 제안
해외진출사업(인도네시아 현지 공장 기술, 생산, 영업지원)",B
"설계사무소 적극 영업호라동
납품실적으로 건설사 홍보활동
납품현장 드론 촬여으로 현시감과 실현 가능성 홍보
3D모델링 서비스로 차별화전략",C
"신제품 개발 과 지속적 업데이트로 고객만족실현
고객에 적합한 서비스 제공을 통한 편의성 제고
지속적인 신규고객 유치",C
"시장조사
소비자트랜드조사
신제품개발,특허출원",C
"온라인컨텐츠 기획 및 소싱 활동
자사 및 타사 플랫폼 위탁운영
타 채널 발굴 및 입점 제안을 통한 판매
마케팅전략 수립 및 실행
상품,컨텐츠 및 고객관리",C
"주 거래처의 신롸를 바탕으로 한 유대관계 유지 
에너지절감을 이용한 시스템으로 제안 영업
인맥을 통한 거래처 확보",C
"1. 고객과의 성실한 상담 → 기록 및 증거 검토 → 기록 및 증거 검토 결과를 바탕으로 고객에게 법률적 해결 방안 제안 → 적극적인 소송수행 
위 업무 과정 중 어느 하나 소홀히 할 없음
2. 자문회사에 대하여는 지속적인 소통으로 법률문제를 사전에 예방(계약서· 공문 검토, 내용증명 발송 등을 통하여)",B
"공개 경쟁설계 (현상설계)를 위해 우수한 작품 창출.
우수한 작품 창출을 위한 인재육성 및 현세대에 맞는 디자인과 공간 연구.
수익원의 다변화를 위해 건설사 및 지자체의 사업 정보 확보",C
"고객에 대한 지속적인 유지보수 활동
고객, 광고, 인맥을 통한 영업활동",D
"연대보증인이 포함된 경우 직접 방문 (지점에 내방하여 서명하는 경우가 많음)
증권 발급 횟수가 증가하거나 유효 보증 잔액이 증가할 경우 한도 거래 안내
  (정해진 금액을 한도로 정하여 증권 발급 가능)
공공 및 정부기관 각종 지원금 사업 설명회 참석하여 보증보험 안내
인맥을 통해 소개 받은 고객에게 지속적으로 유대관계 유지
각종 공모 사업의 입찰,계약,선금 등 보증서에 대한 사항을 확인하여 계약자에게 안내
계약자 및 피보험자가 지속적으로 증권 발급이 가능하도록 파생되는 계약 및 상품 안내",C
" 국내 = 당사 제품의 신뢰를 바탕으로 재구매 및 소개 통하여 찾아 오는 고객 
 해외 수주 활동 =agent 와 협업, 해외법인 을 통한 고객 관리 및 수주 활동",C
"1.본사와 협약하여 상생방안 자체 개발
2.직원의 직접동기 
3자사거래시 식자재에 관한 모든것 해결가능",D
꾸준한 디자인 향상을 위한 우수인력확보와 사내 분위기조성을 통해 성과물 완성이 곧 성공적인 비즈니스로 이어이지는 순환 구조입니다,D
"“도전과 혁신을 통해 새로운 성장동력을 확보하고 미래금융 선점”
고객중심의 디지털 혁신으로 NO.1 금융플랫폼을 만들자
스타뱅킹과 M-ABLE, 리브메이트 등 그룹의 대표금융 APP은 고객중심의 디지털 혁신을 통해 각 플랫폼의 역할에 맞는 특화된 종합금융플랫폼 구현
데이터 기반의 고객, 상품, 채널의 혁신을 통해 빅테크사와는 차별화된 종합금융솔루션을 제공하고 AI 및 머신러닝 기술을 활용한 개인 맞춤형 상품과 서비스토 제고
비대면 채널과 대면 채널을 유기적으로 연결하는 SEAMLESS한 고객관리체계를 수립하고 OMMI채널 관점의 통합 고객관리를 통해 마케팅 체계를 더욱 견고히",A
"나라장터나 LH공사, 지자체에서 발주하는 사항을 면밀히 파악하여 적정 가격에 입찰",D
인맥 관리,E
"건축 허가청과 유대를 통한 유용한 정보 사전 확보
변화하는 아파트 트랜드를 최대한 반영하여 최신 아파트를 제공함으로써 고객만족에 기여
파트너와 주기적인 협업으로 동반자관계 유지",C
"전국 지역주택조합의 어려움을 파악하여 당사와 협의하여 문제해결 방안모색
공공 입찰 지속적인 참여",C
"발주청과의 유대를 통한 정보 사전확보
사업영역 확대를 위한 영업력 확보",D
"자동차사 등 주요 고객사에서 요구하는 제품(강종)의 성분/품질/납기 스펙을 준수하기 위한 생산/품질설계,
  양 제철소에서의 생산활동 및 납품
양질의 철강제품 생산을 위한 원료구매/조달, 생산 관련 프로세스별 설비 운용 등
당사의 (타사 대비) 특화된 강종 제품에 대한 기존/신규 고객사 대상 제안 영업
당사 제품의 가치사슬 상에 존재하는 모든 이해관계자(고객)를 대상으로, 고객이 필요로 하는 내용 또는 고객에게 새로운 가치를 제안할 수 있는 내용에 대한 신강종 개발, 2차 제품 개발, 각종 기술/인증 활동
  ex) 강건재 내외장재 가치사슬 예시) 포스코 → 컬러강판사 → 패널제작사 → 건설사/설계사 → 발주처
     * 컬러강판사 대상 : 컬러강판용 베이스 소재의 품질/납기 준수 납품, 당사 네트워크 활용 컬러강판사의 가전사/건설사 대상 수주 지원 활동 등
     * 패널제작사 대상 : 신규 강종/컬러강판 소개 또는 신규 패널제품의 선행디자인 제안(디자인솔루션)으로 해당 고객사가 당사 제품과 당사의 컬러고객사 제품으로 영업할 수 있게 지원
     * 건설사/설계사 대상 : 당사재 기반 고객사 제품에 대한 기술/성능 홍보, 프로토타입 제작(가능성 제시)",A
"모임과 단체활동으로 인한 관계유지
광고와 인맥을 통해 연락이 온 목표고객에게 영업활동을 한다",E
물품의 내용과 특성을 완벽히 이해하여 이상없는 운송 입니다.,E
"고객의 니즈 파악
건축중 계속적인 상담
기존고객 만족을 위한 CS팀 운영",C
"각 지자체별 지역적 특성 감안한 도로안전시설물 제안
나라장터 종합쇼핑몰에 현장별 다양한 제품 등록하여 고객니즈에 따라 유연하게 대처
각 지역별 영업지사를 통한 거래처 확보
디자인팀을 운영하여 고객이 필요시 디자인제안 및 제품개발 적용",B
각 수요처 별 시방 및 규격을 확인하여 국내생산 및 수입업체 섭외,D
각 수요처별 필요물품을 파악하여 제품수입 및 국내 생산처 확보하여 제품 공급,D
"수입의료기와 국내의료기의 품질확보 및 관공서, 보건소 의료기제품 제안",D
고객 서비스 만족,E
"뉴노멀 언택트 시대 새로운 공공 서비스
혁신적인 제품과 업종별 솔류션",D
"최첨단 검사장비 개발(디스플레이, OLED)",D
"신규택지지구 가스공급 배관 신설
노후배관, 정압시설 보수
고객서비스센터 운영",C
"기존에 가지고있는 보험 보장분석
모자란 보장 제안 및 설계
생애설계 및 연금 보장제안.",C
기존 거래를 하고 있는 목표고객에서 신규 프로젝트 진행에 필요한 협의 요청시 당사 영업팀에서 대응 활동,D
"공사전 현장 사전검토를 위한 전문기술인 지원 설명회실시.
뛰어난 시공력으로 신뢰 확보.",C
"공급사의 엄격한 품질관리 기준인 SAMSUNG Quality Process 품질관리, C/UL인등관리, 미국 COSTCO Audit 및 품질관리, 독일 HornBACH Factory Audit등 전 세계적인 기업의 까다로운 품질기준",B
"품질 및 서비스로 기존고객사 관리.
신규고객사 발굴.",C
"지속적인 마케팅 주력과 새로운 아이템 창출에 포커슬 맞춘다
기존 고객에게 새로운 아이템을 지속적으로 홍보",C
"신규 영업 제안서 제출
샘플 테스트 및 경쟁사 제품 분석
기존 사용품에서 다른 원가절감 할 수 있는 제품으로 제안하고 설명
기존 작업방식보다 효율적으로 작업할 수 있도록 개선해서 제안
노후와 된 설비 보수 및 교환할 수 있도록 제안서 제출",B
"1.	부품 사업 : 완제품 업체 관계자와의 원할하고 주기적인 관계 유지
2.	완제품 사업 : 제품 “NAME”의 홍보. “나비잠 온수매트”",C
"기존 거래를 하고 있는 거래처의 년간 일정을 확인 영업활동
해마다의 트렌드 연구 반영",D
"혁신기술배발. 효율적 공법 연구
새로운 설계 및 건축
트랜트변화 연구
저평가 건축부지 확보",A
"재시공이 없는 시공과 하자의 최소화 실현
고객(관공서, 개인 등)의 회사에 대한 신뢰와 믿음
신개발공법으로 고객의 신뢰도 상승
원가절감을 통한 이익 증가",B
"최근 기술 트렌드에 대한 파악
최근 특허청 심사 트렌드에 대한 파악
지식재산권을 이용한 다양한 지원사업에 대한 파악",C
"동종 업종 설비반영 사례를 제공하며 목표 고객에게 제품에 대한 실효성과 성과를 제공한다.
기존설비의 노후화된 펌프의 교체 및 대체품을 적용, 장치제작, 연구개발등에 필요한 적정한 펌프를 선정하여 설비에 반영할 수 있도록 한다.
ISO인증과 특허기술을 보유한 뛰어난 품질과 기술보유
고객의 신규 설비 확충으로 인한 협의 요청 시 당사에서 협업하여 대응 활동을 한다.
당사의 최신 제품의 우수성을 적극 홍보하여 고객사 설비보존 담당자에게 지속적인 기술교육을 제공하며 현장에서의 개선점에 관하여 Feedback을 지속적으로 실시한다.",A
"신제품 및 신규고객사에 당사 기술능력 PR 및 제품에 대한 정확한 원가분석후 입찰 참여가 이루어짐
추후 입찰 합격 후 해당 공정의 심사 및 평가 후 최종 승인이 이루어짐",C
돼지 생산성을 높이기 위한 전반적인 활동,E
"점차 강화되고 변화가 많은 환경관련 법령에 대한 선제적 파악을 통해 거래처 환경기술인에게 자료 및 데이터를 제공한다
관공서 환경부서와의 지속적인 유대감 형성 인적 네트워크 결성을 통해 시장동향 및 지도점검 트렌드를 읽고 선제적으로 대응한다
최신 측정 기술 및 분석 기술 습득을 위해 각종 세미나에 참석하고 국가 혹은 민간 교육을 이수하여 내부적 인력을 양성한다.",C
"고품위 원료의 자체생산 후 가공으로 안정적인 납품 및 제품의 균일성 확보.
자원의 안정적 확보 및 관계사 협력으로 시너지효과 창출.",C
목표고객의 이익창출을 위한 시기적절한 컨설팅,E
"사료 및 TMR배합비 제공
농장 사양관리 개선사항 제안",D
홍보입니다 교육 실적을 통한 홍보,E
"회원사, 국회, 정부 등 목표고객과 협의를 통해 불합리한 제도 개선 및 주택산업 발전 방안 마련
대외활동과 인맥을 통해 연락이 온 목표고객에게 영업 활동을 함",D
"정확한 기사 제공
신뢰성 있는 기사 제공
한발 앞선 취재 및 기사 제공",D
"사전 영업을 통한 주택 청정설계 제안
설계 반영을 위한 도면을 건설사, 설계사무소, 건축주에게 제안 영업한다. 이때 국내, 외 관련 자료 통지 등을 통한 환경 패러다임 최적화 진행
고객사 신규 프로젝트 진행 시 최우선 견적대응 및 설계도서의 무상지원을 통하여 관  련 정보 및 개발방향 정보 획득향후 수  주전에 확실한 우위에 섬.",B
"제품의 품질 개선이나 업그레이드 디자인 변경이 시장에 맞게 변할 경우 주요 고객 방문을 통한 직접적인 면담
판매처의 자존감이나 우월성을 유지하기 위한 개발 후 각종 디자인, 특허 등록을 통한 독점 확보",C
