비용구조,label
"광고비
홍보비
고객관리
프로모션 비용",C
"인건비,재료비,차량유지비,임대료
물류비,출장경비,외부가공비
운영비 ",E
"인건비, 자재비, 건설장비 임차료, 사무실 관리비 및 감가상각비
공사용차량 운영비 및 감가상각비",E
"자재비용 50%~60% (알루미늄)
인건비, 시공비, 하자보수비, 연구개발비
사무실임대료, 접대비
압출, 도장, 금형 제작에 필요한 기계류 유지비",D
"인건비, 시공비, 재료비, 물류비용
임대료, 영업비, 회사운영비
연구개발비",D
"사무실임대료
인건비
재료비
외주가공비",E
"인건비
사무실임대료 등 운영비
건축 외 타분야 외주비",E
"임대료, 관리비
투자비 감가상각비(인테리어, 집기, 전산장비), 수선비
복리후생비(급여 등)
매출원가(상영 부금, 매점 제료비)",E
"노무비 (급여/퇴직금)
경비 (영업비)
자재수입대금
외부재 재매입대금
사무실 임대료",E
"인건비, 재료비, 물류비, 운영비, 영업비 등
원료비
연구개발비
설비투자비",C
"인건비, 재료비, 물류비, 운영비, 영업비 등
원료비
연구개발비
설비투자비",C
"원자재비,인건비,관리비,영업활동비",E
"사무실 임차료 , 기술개발비, 서버운영 및 시설투자비",C
"제품원가,연구개발비,마케팅비,판관비,해외법인운영비",D
"상품매입비,물류비,컨텐츠제작비,채널수수료,판관비,마케팅비",D
"인건비,
시공비
자재비 
설비투자비
기술개발비
공장임대료
건물 및 기계 감각상각비",C
"본사는 법률회사로 인건비가 전체 비용의 80% 정도이며, 그 외 블로거 관리리, 임대료, 건물관리비, 사무재료구입비가 있습니다.",E
"인건비, 씨스템(소프트웨어포함) 투자비 및 감가상각비
사무소 임대료 및 관리비
기술 개발비 및 교육비
각종 소모품등 재료비
직원 후생복리비",D
"인건비, 재료비, 출장제경비 등",E
"SGI서울보증 지점에 대리점이 상주하고 있습니다.
임대료나 관리비가 별도로 청구되는 건 없습니다.
렌탈장비(프린트, 토너) 사용료
인건비
우체국 등기 비용",E
" 재료비, 인건비, 물류 비용, 현지 파견 인력의 조립 비용
 해외법인 운용비, 해외 agent 수수료, 해외 출장비
 일반 관리비, 감가상각비",E
"인건비, 물류비, 운영비, 렌탈비, 유류비, 차량유지비, 매몰비용, 건물감가삼각비, 마케팅비",D
"저희 회사는 우수인력확보를 위한 인건비가 가장 많으며, 그 다음은 디자인 작업에 필요한 자료구입(전문도서)과 장비(컴퓨터 및 프로그램)입니다.",E
"인건비(기본급여, 인건비성 복리후생비, 퇴직급여 등)
물건비성 경비(물건비, 제삼각, 제세공과)
이자비용
전산비용(이용료, 개발비 등)
광고비
기타",D
"임직원 인건비
사무실 임대료
공고 수수료",E
"인건비
사무실 임대료
영업비",E
"인건비, 시공비, 재료비, 광고비, 물류비용
건설장비 임대비
공사용 차량 운영비 및 감가상각비
사무실 임대료 및 관리비
설비투자비, 기술개발비",C
"시행사비용 : 설계 및 각종 용역비, 모델하우스 건립비, 분양대행사 운영비
건설비용 : 자재비 및 노무비, 장비비
사무실 관리비 및 감가상각비
각종 보험료 외",E
"인건비
협력업체 외주비
사무실 관리비 및 출장비",E
"인건비, 재료비, 광고비, 물류비
설비투자비, 기술개발비, 판매관리비
임대료, 건물 및 장비/장치 감가상각비 등",C
"광고 및 홍보비용
자동차용품 비용",D
"운송비, 임대료",E
"인건비,시공비,재료비,차량유지비,수입물류비,직원복리비",E
"인건비
원자재비,
사무실및공장임대료
기계감가상각비
시공비,기술개발비,",D
"인건비, 자재비, 임대료
기계감가상각비",E
"인건비, 자재비, 재료비, 물류비
사무실입대료
기계감가상각비",E
"인건비, 자재비, 임대료
카다로그 및 광고비
기계감각상각비",D
"인건비, 원부자재비, 체인점 관리비, 홍보비",D
"설비투자비, 기술개발비, 렌탈장비 사용료
인건비
운영비
영업비
광고 및 홍보비
유통비용
설비투자비
데이터 서버운영비",B
"인건비, 운영비, 설비투자비, 렌탈 장비",D
"인건비, 시공비, 가스구입비, 배관 및 시설 감가상각비",E
"설계사 수당, 광고비, 임대료, 본사 인력 인건비",D
"설비투자비, 몰드개발비, 연구시험비, 설계비용, 건물 및 기계감가상각비",E
"인건비, 시공비, 장비비, 자재비 현장별 숙소임대비",E
"인건비, 자재비, 광고비",D
"자재비, 인건비 , 설비투자비, 기술개발비",C
"인건비
영업활동비
광고비
렌탈 제품 구매비요",D
"인건비, 원자재비, 사무실 임대료, 건물 및 기계 감가상각비
영업비, 운영비, 유통비용
해외공장 운영비",E
"1.	인건비(연구원) 및 기술개발비
2.	원자재가(재료비)
3.	광고 및 홍보비",B
"인건비
사무실임대료
렌탈장비 사용료
영업비, 운영비",E
"인건비
설계비
시공비
재료비
광고비
분양수수료
사무실임대료",C
"인건비, 영업비, 자재비, 기술개발비, 고정자산의 유지비, 
감가상각비, 물류비 등",D
"임대료, 인건비가 비용의 95%",E
"인건비, 제품매입비, 물류비용
데모장비 구매비용(선투자)
운영비, 영업비, 광고 및 홍보비(전시회)",D
"인건비 및 시설운영비, 자재구입비, 설비투자비, 기술개발비",C
"인건비, 설비투자비, 재료비, 사료비, 약품비, 시설유지비",C
"인건비
측정장비 및 분석장비 구매비
측정 및 분석에 사용되는 장비 소모품비
실험실 시약구매비 및 운영비
사무실 운영비
차량구입비 및 유지관리비.",E
"채광비, 운반비, 장비구입비, 인건비, 임대차 비용, 시설비, 장비 시설 유지비, 운송비, 영업비 등",E
"인건비
통신비
차량 및 제반시설의 유지 및 감가상각비",E
"인건비 
사무실임대료
차량유지비
법인카드사용(식대, 유류대, 접대비 등)",E
"인건비, 사무실 임대료, 장비 구입비, 운영비 등",E
"운영비
인건비
사무실임대료
광고 및 홍보비
데이터 서버운영비",C
"직원 인건비
인터넷 서버 관리비
건물 임대표",E
"자재비 : 55%
인건비 : 25%
관리비 : 7%
A/S 비 : 3%",E
"가장 비중이 큰 쪽은 해마다 상승하는 재료비인 인모 구입비
그 외에 제품홍보를 위해 들어 가는 광고비
2020년 코로나로 활동이 전혀 없었지만 각 분기별 지역별 미용행사시 홍보용 부스 설치를 통한 지속적인 홍보활동",C
"원재료비, 인건비, 외주가공비, 물류비, 소모자재비
공장임대료, 운영비
영업비(영업 및 광고선전비 포함)
감가상각비, 설비투자비",E
"베트남 인건비, 외부업체 가공비, 사회보험료, 부자재비용, 전기료, 물류비 등
베트남 건물, 기계 감가상각비
인건비, 영업비용, 원료 구매 비용, 사무실 임대료 등",D
"원재료비, 부재료비
인건비, 외주가공비, 연료비, 소모품비, 전력비, 설치비, 운반비
건물 및 기계 감가상각비
기존제품의 품질향상을 위한 연구개발비
신규아이템을 위한 연구개발비",C
"인건비
광고비
사무실임대료
물류비
쇼핑몰 전산 운영비",D
"인건비, 재료비, 시공비, 물류비용, 임대료",E
"원자재 매입비, 인건비
물류비, 감가상각비, 지급이자, 기술개발비, 접대비, 광고선전비",C
"인건비
제품 매입 비용
사무실 임대료
영업비, 운임
마케팅 비용 (온라인)
비품 및 차량 렌탈 비용",D
"원자재비 (원단 가종 부자재 )
포털 검색광고비 (네이버 검색광고)
인건비 (외주가공비용)
직영 오프라인운영비(금융비용)
각종 운영비",E
"인건비, 시공비, 물류비, 자재비
기술개발비, 
설비, 공장, 토지 감가상각비",D
"텔레마케팅 직원 인건비
네이버카페ㆍ유튜브 Sns마케팅 직원인건비
홈페이지운영유지비및 유료제공사이트 사용료
컨설팅 직원 인건비",E
"현장시공 자재비
현장시공 인건비(현장관리비, 시공기술자 인건비, 식대 외)
현장시공 경비(사무실임대료, 숙박비, 장비비 외)
본사관리비(본사인건비 외), 기타비용",E
"인건비 
광고 및 홍보비
물류비용
전시장 임대료 및 운영비
원자재비, 기타",C
인건비등 직접경비 + R&D 및 장비 등 투자비,C
"재료비
인건비, 시공비
장비임대료, 물류비
사무실 임대료, 운영비",E
"건물 관리비(안전 점검, 수리 보수 등) 및 인건비",E
"인건비(내부, 외주 포함) 
재료비(원료비, 부자재비) 물류비용
사무실임대료(서울사무소)
설비투자비(장비구입)",D
"원, 부자재비
인건비
창고 임대료
외주 가공비
관리비(사무실 운용비, 인터넷, 통신 사용료, 식대, 차량유지비, 전기사용료 등)
물류비, 설비 투자비",D
인건비/재료비/물류비/차량유지비/사무실임대료/영업에 따른 활동비,E
"프로젝트별 인건비, 자재비, 장비비, 경비
본사의 영업 및 관리를 위한 공통경비",E
"사원 수수료.
판촉비(정기적 간행물, 접대비)
사무실 임대료.
사무실 운영비.
출장 교통비.
내근직원 급여.",E
"인건비, 출장비, 교육비, 중국공장 보증금, 개발비(출장 ,시간, 실패에 대한 기회 및 투자 비용)
사무실 운영비, 하자 처리비",D
"인건비(외주,내주)
영업비(광고 및 홍보)
임대료(사무실 공장)
운용비
접대비",E
"자체개발비 : 기술개발비, 각종 인증비 등
외주개발 : 디자인비, 기구설계비, 금형개발비, 앱개발비 등
유통비용 : 물류비 등
각종 장비 구매비용
무상 A/S 비용
건물 감가상각비
운영비
영업비",D
"인건비, 영업관리비, 재료비, 광고비, 물류비용
설비 투자비, 기술개발비, 몰드개발비, 
사무실 임대료, 건물 및 기계 감가상각비",C
"운영유지 보수비, 대체투자비, 긴급보수비, 본사관리비, 인건비",E
"설계비, 시공비, 재료비, 광고비, 기술개발비, 사무실유지비, 본사관리비, 인건비
토지구입비, 분양대행수수료, 등",C
"인건비
회사 유지관리비와 같은 간접비
부분적으로 외주에 설계 하청으로 주는 외주설계비",E
"인건비, 사무실임대표, 해외출장비
환율 변동에 따른 환차손",E
"인건비, 선임비, 항공료, 관부가세, 프로그램사용료 등
사무실임대료
건물 및 기계 감가상각비
대체로 운송비 즉 항공료 선임 내륙운송비가 60~80%입니다
인건비가 20%전후입니다. ",E
"인건비, 시공비, 재료비, 
사무실임대료
건물 및 기계 감가상각비",E
"외주비 40%. 자재비 30%
현장 및 일반관리비 15%
본사관리비 및 기타경비. 이윤등 15%",E
"외주비 40%. 자재비 30%
현장 및 일반관리비 15%
본사관리비 및 기타경비. 이윤 등 15%",E
"하도급 외주비, 재료비, 노무비, 경비 등
직원급여, 복리후생, 지급수수료 등
건물 및 집기 감가상각비
기술개발비, 토지비",D
"인건비, 
영업비, 
광고 및 홍보비, 
물류비용",C
"인건비
마케팅비용
물류비용
생산설비기계
재료비",C
"인건비, 시공비, 재료비, 물류비용
설비투자비, 기술개발, 
사무실임대료
건물 및 기계 감가상각비",C
"시스템설치 투자비
기술개발비
공사비
재료비
인건비
임대료
경비",C
"노무비 : 급여, 퇴직금, 잡금
경비 : 출장 직원들의 교통비, 식비, 숙박비, 복리후생비, 건물관리비, 소모품비 등
재료비, 개발비, 샘플 구매
영업비 : 영업경비, 광고비 등",D
"인건비, 재료비, 물류비, 
영업비, 설비투자비, 기술개발비
사무실임대료
건물 및 기계감가상긱비",B
"수입 물류비용 및 관세
국내 외 출장비용
사무실 및 창고임대비용
인건비 및 판관비
차량유지비",E
"원료비, 인건비, 물류비
설비투자비
건물 및 기계비
영업비
운영비
유통비
기타",E
"인건비, 재료비, 물류비, 광고비 등
건물 및 장비 감가상각비
연구개발비, 영업비",B
"재료비, 인건비, 전기/수도광열비, 물류비, 건물 및 기계 감가상각비",E
"원자재비, 노무비, 시공비(장비비, 경비), 물류비용, 
공장에서 제품 제작 위한 부속자재 및 외주인건비 
사무실임대료
각종 설비 감가상각비 
이자비용 
영업비 ",E
"고객 미팅을 위한 이동시 필요한 교통비
고객과 만찬 미팅시 소요되는 식비 및 접대비
정보자료 제작 및 배부에 필요한 인쇄비",E
"제품 원료 수입
공장,사무실 임대료, 인건비 고정비
시공비, 연구개발비, 설비 투자비, 광고비, 감가 상가비",C
"인건비(내.외), 알바비, 원재료비, 포장비, 디자인비, 운영비, 영업비, 광고 및 홍보
물류비,신제품 개발비, 건물 유지 보수비, 설비 투자비, 통신비, 데이터 서버 운영비
전기세, 수도세, 기계시설 유지비, 기타(잡화)",D
"인건비 영업비 
원료비 구매비 물류비",E
"인건비(내부 외주), 설비투자비, 재료비, 기술개발비, 품질관리비, 물류비, 수선유지비, 감가상각비",D
"인건비, 사무실 임대료 등 간접비
강사비, 호텔임차료 등 직접비",E
"원지매입비용, 판지매입비용, 인쇄비(인쇄/코팅/형압/특수인쇄등)
박스가공비(톰슨가공/접착 등), 배송 물류비
건물 및 기계장비 감가상각비, 생산, 지원, 영업 인건비",E
"인건비
직접비용(재료비) 및 간접비용(Utility비용)
설비 감가상각비
생산, 지원, 영업 인건비",E
"인건비, 마케팅비",D
"사무실 임대료
컨설턴트의 성공보수
운용비
테이터 서비 운영비",D
"제품 구입비
인건비 미 일반관리비
agent 수수료",E
"제품개발 제조 홍보 비용(선 투자)
인건비, 사무실운영비
대기업제품 선 지급 후수금으로 인한 운영자금(이자)
유통비용, 쇼핑몰통합관리 솔루션비용(사방넷), 데이터 서버운영비(가비아) ",E
"직·간접 노무비 
시공비(재료비, 노무비, 경비 등)
영업비용
제수수료
제보험료
임차료
교육 및 기술개발비",D
"인건비. 차량감가상각비. 판매촉진비. 사무실 창고 임차료. 차량유지비
포장비. 이자비용",E
"상품 매입비
연구개발비 
광고선전비, 인건비, 운반비, 교육훈련비",C
"인건비
컨설팅비(기술 제공)
홍보 및 연업 관리비",D
"인건비
지류비
인쇄비
개발비(온라인)
제품 소싱비
디자이너 교육비
구성원 정기적인 교육비",E
"인건비, 컨텐츠 개발비
시설 및 시스템 비용
강사료
건물 임대료",D
"인건비, 원부자재비, 물류비
연구개발비
건물 및 기계 감가상각비",D
"직원 인건비
물류 비용
설치 시공비
영업 비용
샘플비용
차량관리비
일반관리비
사무실 임대료",E
"인건비(일용직포함), 임대료, 자재구매대금
외주가공비, 렌탈 장비 임대료, 운영비, 감가상각비(자산에 대한)",E
"인건비, 시공비, 재료비, 물류비용
설비투자비, 기술개발비, 
사무실임대료
건물 및 기계 감가상각비",C
"재료비
인건비
운영비
물류비
연구개발비",D
"렌탈장비 사용료, 인건비, 운영비 (영업점, 전산시스템 등), 영업비",E
"인건비, 운영비, 영업비, 유통 물류비
광고 및 홍보비
시공비
제품 생산(공장)
매장 임대료
설비 투자비
제품 리스비
유지비",B
"인건비, 자재비, 공사비, 영업비 ,운영비, 임대료, 각종 소프트웨어 ,프로그램 기술 개발비 등",D
"인건비, 시공비, 재료비, 광고비, 물류비용
설비투자비, 기술개발비, 몰드개발비, 
사무실임대료
건물 및 기계 감가상각비",A
"인건비, 협력사 외주비, 관리운용비",E
당사의 가장 중요한 비용은 인건비와 재료비입니다 가장 큰 비용은 재료비이고 다음이 인건비 그리고 감가상각비 등 입니다,E
"R&D(기술개발비)
설비투자비,
인건비(내부 외주)
운영비
영업비
광고 및 홍보비
유통비용
국내외 출장비",A
"자재비 : 시멘트, 골재, 혼화제
물류비 : 레미콘 운송비, 유류대
인건비 : 믹서트럭 기사 및 임직원 급여
기타 판관비 : 영업비 등
건물/기계 감가상각비 등",E
"인건비
운영비
고객관리비",E
"인건비
물류 운송비
하자 처리비
영업활동비
사무실, 공장 임대료
감가상각비
세금 및 공과",E
"인건비, 전문건설업체 외주 발주비
외주비, 자재구매비, 현장관리비, 연구개발비, 본사 일반관리비",D
"인건비
광고 홍보비
사무실 임대, 운영비
영업비
출장비
시장 조사비",C
"인건비, 자재비, 장비비, 경비
건물 및 기계 감가상각비
영업비",E
"인건비, 재료비, 원자재비, 광고비, 임대료, 물류비, 영업비",D
"사무실임대료
영업비
광고 및 홍보비
운영비",C
인건비(내부 및 외주) 및 광고비,D
"인건비(내부, 외주)
시설물 유지보수비
광고 및 홍보비
설비투자비",B
"인건비, 건설시공비, 광고비
기술개발비
사무실 유지비
건물 감가상각비
렌탈장비(차량, 사무가구 등) 임대료
기타 사무실 운영을 위한 소모품 및 전기통신 비용",B
"전시장 운영비, 사무실 임대료, 물류비용, 
인건비, 샘플비용, 
환율",E
"인건비, 수입비용, 전시장 관리비용, 샘플 및 브로슈어 비용",E
"인건비, 시공비, 재료비, 사무실임대료 등",E
"자체사업 리츠사업의 경우 건설원가(토지비, 직접공사비, 설계비, 감리비, 취득세, 원인자부담, 법률/재무자문수수료 등) 및 리츠운영비(위탁, 자산관리, 사무수탁, 신주발행, 모델하우스 운영, 광고홍보, 분양대행수수료, 입주지원/관리비, 임대운영비, 관리수수료, 수선유지비, 수선충당금 등) 이 발생하며, 발주처의 입찰 방식, 내역, 사업구조에 따라 달라짐.",D
"인건비, 사무실 임대료, 광고비, 출장 여비, 차량유지비",D
"인건비, 재료비, 장비비, 물류비, 사무실 임대료",E
"인건비
마켓리서치
사무실임대료
중요 컴퓨터 장비 구입",E
"인건비, 네트워크 장비 투자비, 건물 건축비 ",E
"제품개발을 위한 경상연구개발비
제품생산을 위한 금형제작비
재료비,
인건비 및 4대보험료
지급임차료 등 경비
제품운반비
온라인판매 수수료
광고선전비",C
"제품 도입 비용(상품 수입 또는 OEM 생산) – 허가비용, 인쇄비 등
인건비, IT 유지비, 물류비, 광고비, 창고 보관료, 사무실 임대료
판매수수수료, 영업비",E
"임가공, 인건비, 물류비, 설비 투자비, 영업비용",D
"원부자재
임가공 
인건비 
물류비 
설비 투자비",D
"원부자재
임가공 
인건비 
물류비 
설비 투자비
RND 투자비",C
"원부자재
임가공 
인건비 
물류비 
설비 투자비",D
"인건비
외주비 (직접경비-측량비, 지반조사비, 인허가비등)
사무실 임대료
설계 프로그램 구입비",E
"사무실 임대료
인건비
운영비
광고비",D
"고정비 (직원 인건비), 관리비, 광고비, 영업비, 
설비 투자비, 개발 투자비, 브랜드 설계비
건설 시공비",A
"인건비
재고
차량유지비용",E
"인건비 ( 50% )
각종세금 및 소프트웨어 및 컴퓨터 감가 상각비 ( 15% )
은행이자 및 공과금 ( 10% )
광고.홍보 및 제안비용 ( 15% )
운영비 외주비 ( 10% )",D
"인건비, 시공비, 재료비, 광고비, 복리후생비
금융비용 (이자 및 수수료)
사무실임대료",C
"인건비, 물류비
광고비, 영업비
하자처리비
사무실임대료
차량운영비",C
"차량렌트비 ,인건비, 홈페이지관리비, 사무실임대료, 광고비",C
"원지매입비용
인건비
금형 및 설비 수리비
전기요금
차량 감가.건물 감가",E
"인건비,
차량 및 사무기기 렌탈비
영업비
설계 외주비",E
"자재비, 운반비, 인건비, 사무실임차료, 기타 관리비",E
"인건비
물품구매비용
장비구매비용 및 수입관리비용
카드 수수료
통신료",E
"인건비, 재료비, 현장 경비
연구개발비, 시설투자비 등
사무실 및 공장운영비, 공장 임대료
기계 감가상각비
홍보활동비, 영업 접대비 등",B
"운영비, 인건비, 시공비, 기타 경비 
기술개발비, 영업비
건물관리 및 감가상각비",C
"운영비, 인건비, 시공비, 기타 경비 
기술개발비, 영업비
건물관리 및 감가상각비",C
"운영비, 인건비, 시공비, 기타 경비 
기술개발비, 영업비
건물관리 및 감가상각비",C
"일반관리비, 인건비, 연구개발비, 특허비, 실험비용
제작원가(강재자재, 절단, 가공, 용접)
운반비, 가설재 설치비",D
"인건비, 시공비, 재료비, 사무실임대료 등",E
"연구개발비
인건비
건물 및 시설장치 감가상각비
운영비
영업비
광고 및 홍보비
설비유지비
서버운영비",B
"재료비
기술개발비
인건비",D
"인건비
은행대출이자
사무실관리비
차량유지비
통신비",E
"인건비, 자재비, 영업비, 서버 운영비 등.
제품(샘플)개발비,
건물, 기계 감가상각비(설비투자비), 몰드제작비.",D
"건설관련 단종외주비
자재비, 현장관리비
본사 영업 및 관리비",E
"인건비, (급여, 복지후생비, 교육/훈련비 外)
운영비 (법인세, 임대료, 소모품비 外)",E
"인건비, 재료비, 광고비, 물류비용
설비투자비, 기술개발비, 
사무실임대료
건물 및 기계 감가상각비",B
"인건비, 시공비, 재료비, 광고비, 물류비용
설비투자비, 사무실임대료
건물 및 기계 감가상각비",B
"인건비
판매관리비
사무실 임대료
금융비용",E
"인건비
사무실 임대료
제품 개발비
영업비용
운영비
물류비용
홍보비용",C
"수출입물류비 
인건비, 샘플구입비, 사무실 운영비 임대료 포함, 국내외 출장시 비용",E
사무실 및 창고 임대료 인건비 물류비,E
"자재구매비, 인건비
창고 유지관리비, 사무실 및 자재 창고 임대료
운반비, 기술개발비",D
"인건비, 영업활동비, 전산 사무장비",E
"시공비, 자재비, 부자재비, 기타보험료
사무실 임대료
기타 차량 및 감가상각비",E
"인건비, 물류비용, 사무실임대료, 직원들 차량유지비, 외주 시공비",E
"가장 비중이 큰 쪽은 해마다 상승하는 재료비인 인모 구입비
그 외에 제품홍보를 위해 들어 가는 광고비
2020년 코로나로 활동이 전혀 없었지만 각 분기별 지역별 미용행사시 홍보용 부스 설치를 통한 지속적인 홍보활동",C
"인건비, 광고비, 물류비용
설비투자비, 금형개발비, ",B
"인건비, 재료비, 광고비, 물류비
영업비, , 사무실 임대료 및 관리비
렌탈장비 사용료
자재비
세금",C
"인건비, 재료비, 물류비, 임대료, 개발비, 금융비
영업비(판관비), 감가상각비",C
"인건비, 경상경비(건물유지보수, 홍보비, 행사비 등)",D
"제품의 매입비 및 물류비.
회사 임대료 및 A/S비용.
직원 복지비",E
"인건비, 시공비, 재료비, 광고비
기술개발비, 외주제작비
사무실 유지비
스마트팜 관리시스템 서버운영비
설비 감가상각비",B
사무실 임대료 및 소모품 비용을 제외한 거의 대부분이 인건비,E
"인건비, 임대료, 접대비",E
"건물 및 기계 감가상각비, 설비투자비, 경상투자비
원자재비, 물류비
기술개발비, 영업비, 홍보비, 신규사업투자비, 전력비,
인건비, 복지비 등",B
"인건비, 직원복리비, 회사관리비, 사무용품비
업무수행에 필요한 면허, 협회 등록비
업무수행에 필요한 시험장비",E
"인건비
회의 및 행사개최비
전산시스템 운영비
홍보비
인쇄비
여비교통비
신규사업 개발비",B
"인건비, 재료비
일반관리비, 공장임대료
기계장비 감가상각비.
각종 리스비용",E
"인건비(내부 외주)
부품 재료비, 물류비용
공장임대료
기계 감가상각비
기계 정비 수리 유지비
영업비
운영비
사무실임대료",E
"재료비, 인건비, 물류비용, 설비투자, 기술 개발, 외부 인증비용 
광고 및 홍보비, 로열티 ",B
